#node	degree	clustering	betweenness_centrality
Arf51F	1	0	0.0
siz	2	0	0.044444444444444446
Arf79F	2	0	0.044444444444444446
Hem	2	0	0.08686868686868687
Rab11	1	0	0.0
Arp3	2	0	0.044444444444444446
Arpc1	1	0	0.0
drk	6	0	0.8252525252525252
Ced-12	1	0	0.0
mbc	3	0	0.24141414141414141
Crk	3	0	0.30606060606060603
blow	1	0	0.0
SCAR	2	0	0.12727272727272726
Mbs	2	0	0.08686868686868687
Rho1	2	0	0.044444444444444446
flw	4	0	0.28383838383838383
Pak	1	0	0.0
Rac1	6	0	0.21212121212121213
Pak3	1	0	0.0
Pi3K92E	2	0	0.08686868686868687
Ras85D	4	0	0.35454545454545455
Sema1a	2	0	0.044444444444444446
Rac2	1	0	0.0
RhoGAP18B	2	0	0.23636363636363636
WASp	1	0	0.0
Whamy	1	0	0.0
Raf	2	0	0.08686868686868687
RpS18	2	0	0.044444444444444446
Rgl	2	0	0.08686868686868687
cno	2	0	0.35353535353535354
Rok	1	0	0.0
pip	1	0	0.0
dock	3	0	0.20606060606060606
dia	1	0	0.0
Sos	3	0	0.33535353535353535
sls	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	2	0	0.044444444444444446
beta-Spec	1	0	0.0
kst	2	0	0.08686868686868687
sqh	1	0	0.0
hbs	1	0	0.0
kirre	3	0	0.1292929292929293
rols	2	0	0.16565656565656567
sns	2	0	0.044444444444444446
rst	1	0	0.0
