#node	degree	clustering	betweenness_centrality
Abi	3	0	0.0841813135985199
Hem	1	0	0.0
SCAR	1	0	0.0
WASp	2	0	0.12210915818686402
Abl	2	0	0.3422756706753007
Egfr	6	0	0.7465309898242368
flw	5	0	0.34320074005550416
Arf51F	2	0	0.0425531914893617
Arfip	2	0	0.08325624421831637
siz	1	0	0.0
Arf79F	1	0	0.0
Rab11	2	0	0.0425531914893617
Rac1	8	0	0.604995374653099
Arp3	2	0	0.0425531914893617
Arpc1	1	0	0.0
chic	3	0	0.12395929694727105
Cbl	2	0	0.08325624421831637
sty	2	0	0.0425531914893617
Ced-12	1	0	0.0
mbc	3	0	0.0841813135985199
Crk	3	0	0.16188714153561518
blow	1	0	0.0
Vav	2	0	0.49213691026827017
dock	3	0	0.19796484736355227
Mbs	2	0	0.08325624421831637
Rho1	2	0	0.0425531914893617
Pak	1	0	0.0
Pak3	1	0	0.0
Rac2	1	0	0.0
slpr	2	0	0.12210915818686402
Rok	1	0	0.0
Sos	2	0	0.0425531914893617
sls	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
ps	3	0	0.0841813135985199
alpha-Spec	2	0	0.0425531914893617
beta-Spec	1	0	0.0
kst	2	0	0.08325624421831637
dia	1	0	0.0
sns	2	0	0.12210915818686402
drk	1	0	0.0
sqh	1	0	0.0
hbs	2	0	0.0425531914893617
kirre	1	0	0.0
rst	2	0	0.08325624421831637
rols	1	0	0.0
pip	1	0	0.0
