#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05714285714285715
siz	1	0	0.0
sls	2	0	0.11092436974789917
Arf79F	2	0	0.05714285714285715
Rab11	1	0	0.0
Rac2	2	0	0.11092436974789917
Arp3	2	0	0.05714285714285715
Arpc1	1	0	0.0
drk	5	0	0.7495798319327731
Ced-12	1	0	0.0
mbc	2	0	0.05714285714285715
Crk	3	0	0.16470588235294117
blow	1	0	0.0
Hem	1	0	0.0
SCAR	3	0	0.16470588235294117
Pak	3	0	0.4840336134453782
Rac1	6	0	0.3613445378151261
Pak3	1	0	0.0
Rok	2	0	0.05714285714285715
Whamy	1	0	0.0
dia	1	0	0.0
stan	2	0	0.05714285714285715
Rho1	1	0	0.0
WASp	2	0	0.20840336134453782
dock	2	0	0.05714285714285715
Vrp1	1	0	0.0
alpha-Spec	3	0	0.4470588235294118
beta-Spec	2	0	0.44369747899159667
por	2	0	0.05714285714285715
rols	3	0	0.34957983193277314
hbs	1	0	0.0
kirre	3	0	0.16470588235294117
sns	2	0	0.05714285714285715
pip	1	0	0.0
rst	1	0	0.0
sqh	1	0	0.0
