#node	degree	clustering	betweenness_centrality
Abi	4	0	0.16373728029602222
Abl	3	0	0.42090656799259946
Hem	1	0	0.0
SCAR	1	0	0.0
WASp	2	0	0.0425531914893617
Egfr	7	0	0.8057354301572618
flw	4	0	0.23774283071230343
Apc	2	0	0.0425531914893617
arm	5	0	0.40703052728954675
dia	1	0	0.0
Arf51F	1	0	0.0
siz	2	0	0.0425531914893617
Arf79F	1	0	0.0
Rab11	2	0	0.0425531914893617
Arp3	2	0	0.0425531914893617
Arpc1	1	0	0.0
Axn	2	0	0.12210915818686402
dsh	2	0	0.08325624421831637
CadN	2	0	0.08325624421831637
Cbl	2	0	0.08325624421831637
sty	2	0	0.0425531914893617
Ced-12	1	0	0.0
mbc	2	0	0.0425531914893617
Crk	3	0	0.12395929694727105
blow	1	0	0.0
dock	4	0	0.3691026827012026
Hsp70Bb	2	0	0.0425531914893617
pip	1	0	0.0
Pak	2	0	0.12210915818686402
Rac1	3	0	0.0841813135985199
Pak3	1	0	0.0
Rac2	1	0	0.0
Rho1	2	0	0.0425531914893617
Rok	1	0	0.0
Sos	2	0	0.0425531914893617
sls	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
alpha-Spec	2	0	0.0425531914893617
beta-Spec	1	0	0.0
kst	2	0	0.08325624421831637
sns	3	0	0.16188714153561518
drk	1	0	0.0
sqh	1	0	0.0
hbs	2	0	0.08325624421831637
kirre	2	0	0.0425531914893617
rols	1	0	0.0
rst	1	0	0.0
