#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.052631578947368425
Arfip	2	0	0.10241820768136559
siz	1	0	0.0
Arf79F	2	0	0.052631578947368425
Hem	2	0	0.10241820768136559
Rab11	1	0	0.0
Rac1	8	0	0.786628733997155
Arp3	2	0	0.14935988620199148
Arpc1	2	0	0.10241820768136559
chic	4	0	0.40540540540540543
wbl	2	0	0.052631578947368425
Ced-12	1	0	0.0
mbc	4	0	0.3655761024182077
Crk	2	0	0.052631578947368425
blow	1	0	0.0
SCAR	2	0	0.14935988620199148
Pak	2	0	0.42247510668563304
dock	4	0	0.4395448079658606
Pak3	1	0	0.0
Rac2	1	0	0.0
WASp	1	0	0.0
Whamy	1	0	0.0
Rho1	3	0	0.10384068278805121
Rok	1	0	0.0
capu	2	0	0.14935988620199148
sqh	1	0	0.0
Sos	3	0	0.15220483641536273
alpha-Spec	2	0	0.052631578947368425
drk	2	0	0.1934566145092461
sls	1	0	0.0
Vrp1	1	0	0.0
beta-Spec	1	0	0.0
dia	1	0	0.0
hbs	1	0	0.0
kirre	3	0	0.15220483641536273
rols	2	0	0.1934566145092461
sns	2	0	0.052631578947368425
pip	1	0	0.0
rst	1	0	0.0
