#node	degree	clustering	betweenness_centrality
Amph	2	0	0.4024390243902439
Nedd4	3	0	0.4902439024390244
WASp	5	0	0.41829268292682925
Arf51F	2	0	0.04878048780487805
Egfr	8	0	0.7890243902439025
siz	1	0	0.0
Arf79F	1	0	0.0
Rab11	2	0	0.04878048780487805
Arp3	2	0	0.04878048780487805
Arpc1	1	0	0.0
Ced-12	1	0	0.0
mbc	3	0	0.2621951219512195
Crk	3	0	0.3304878048780488
blow	1	0	0.0
Vav	2	0	0.0951219512195122
dock	2	0	0.04878048780487805
drk	2	0	0.18048780487804877
sty	2	0	0.47560975609756095
Hem	1	0	0.0
SCAR	2	0	0.04878048780487805
alpha-Spec	2	0	0.04878048780487805
Pak	1	0	0.0
Rac1	5	0	0.1878048780487805
Pak3	1	0	0.0
Rac2	1	0	0.0
dia	1	0	0.0
Rho1	2	0	0.04878048780487805
Rok	1	0	0.0
Sos	3	0	0.14146341463414633
flw	2	0	0.04878048780487805
sls	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
mRpS24	2	0	0.04878048780487805
beta-Spec	1	0	0.0
sqh	1	0	0.0
hbs	1	0	0.0
kirre	3	0	0.14146341463414633
rols	2	0	0.18048780487804877
sns	2	0	0.04878048780487805
pip	1	0	0.0
rst	1	0	0.0
