#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.045454545454545456
Arfip	2	0	0.08879492600422834
siz	1	0	0.0
Arf79F	1	0	0.0
Sra-1	3	0	0.08985200845665962
Rac1	9	0	0.7780126849894292
Arp3	2	0	0.045454545454545456
Arpc1	1	0	0.0
chic	4	0	0.25264270613107825
Ced-12	1	0	0.0
mbc	4	0	0.5866807610993657
Crk	3	0	0.3414376321353066
blow	1	0	0.0
drk	3	0	0.2864693446088795
Hem	1	0	0.0
Pak	2	0	0.08879492600422834
dock	2	0	0.045454545454545456
Pak3	1	0	0.0
PlexB	2	0	0.13002114164904863
Sema2a	2	0	0.08879492600422834
Rab11	1	0	0.0
Rip11	2	0	0.045454545454545456
Rac2	1	0	0.0
WASp	3	0	0.08985200845665962
Rho1	2	0	0.045454545454545456
Rok	1	0	0.0
capu	2	0	0.08879492600422834
dos	2	0	0.08879492600422834
SCAR	1	0	0.0
wbl	2	0	0.045454545454545456
Sos	3	0	0.1321353065539112
flw	2	0	0.045454545454545456
sls	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
alpha-Spec	2	0	0.045454545454545456
beta-Spec	1	0	0.0
rols	3	0	0.24947145877378438
dia	1	0	0.0
sqh	1	0	0.0
hbs	2	0	0.08879492600422834
kirre	2	0	0.13002114164904863
rst	2	0	0.045454545454545456
pip	1	0	0.0
sns	1	0	0.0
