#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05555555555555555
Arfip	2	0	0.10793650793650794
siz	1	0	0.0
Arf79F	2	0	0.05555555555555555
Hem	2	0	0.10793650793650794
Rab11	1	0	0.0
Rac1	5	0	0.5047619047619047
Arp3	2	0	0.15714285714285714
Arpc1	2	0	0.10793650793650794
WASp	6	0	0.7317460317460317
wbl	2	0	0.05555555555555555
Ced-12	1	0	0.0
mbc	3	0	0.29365079365079366
Crk	4	0	0.5492063492063493
blow	1	0	0.0
drk	3	0	0.20952380952380953
SCAR	2	0	0.15714285714285714
Pak	3	0	0.16031746031746033
Rac2	2	0	0.05555555555555555
dock	1	0	0.0
Pak3	1	0	0.0
Rok	2	0	0.10793650793650794
dia	1	0	0.0
Rho1	2	0	0.05555555555555555
sqh	1	0	0.0
Sos	2	0	0.05555555555555555
sls	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
alpha-Spec	1	0	0.0
beta-Spec	2	0	0.05555555555555555
hbs	2	0	0.10793650793650794
kirre	2	0	0.15714285714285714
sns	2	0	0.05555555555555555
rols	2	0	0.20317460317460317
pip	1	0	0.0
rst	1	0	0.0
