#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.045454545454545456
Rlip	2	0	0.08879492600422834
siz	1	0	0.0
Arf79F	1	0	0.0
Rab11	2	0	0.045454545454545456
Arp3	2	0	0.13002114164904863
Arpc1	2	0	0.08879492600422834
chic	4	0	0.32452431289640593
wbl	2	0	0.045454545454545456
Cdc42	2	0	0.045454545454545456
WASp	3	0	0.1321353065539112
Whamy	1	0	0.0
Ced-12	1	0	0.0
mbc	2	0	0.045454545454545456
Crk	3	0	0.1321353065539112
blow	1	0	0.0
drk	3	0	0.3213530655391121
GEFmeso	2	0	0.33298097251585623
Rac1	7	0	0.8202959830866808
Rala	3	0	0.3202959830866808
Hem	1	0	0.0
Sra-1	3	0	0.3689217758985201
Pak	2	0	0.273784355179704
dock	3	0	0.2463002114164905
Pak3	1	0	0.0
Sec5	3	0	0.17336152219873152
Rac2	1	0	0.0
Rho1	2	0	0.045454545454545456
Rok	1	0	0.0
capu	2	0	0.08879492600422834
SCAR	1	0	0.0
beta-Spec	2	0	0.045454545454545456
Sos	3	0	0.1321353065539112
flw	2	0	0.045454545454545456
sls	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	1	0	0.0
dia	1	0	0.0
hbs	3	0	0.17336152219873152
sqh	1	0	0.0
kirre	2	0	0.045454545454545456
rst	2	0	0.045454545454545456
rols	1	0	0.0
pip	1	0	0.0
sns	1	0	0.0
