#node	degree	clustering	betweenness_centrality
14-3-3zeta	2	0	0.047619047619047616
Egfr	5	0	0.4738675958188153
pip	1	0	0.0
Arf51F	1	0	0.0
siz	2	0	0.047619047619047616
Arf79F	1	0	0.0
Rab11	2	0	0.047619047619047616
Arp3	2	0	0.047619047619047616
Arpc1	1	0	0.0
Ced-12	1	0	0.0
mbc	3	0	0.09407665505226481
Crk	3	0	0.1800232288037166
blow	1	0	0.0
drk	5	0	0.7677119628339141
Dab	2	0	0.2148664343786295
Fas2	3	0	0.18118466898954705
dock	3	0	0.21951219512195122
sty	2	0	0.437862950058072
beta-Spec	2	0	0.047619047619047616
Hem	1	0	0.0
Sra-1	3	0	0.43089430894308944
Pak	1	0	0.0
Rac1	8	0	0.42044134727061555
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	2	0	0.047619047619047616
WASp	2	0	0.047619047619047616
Whamy	1	0	0.0
chic	2	0	0.047619047619047616
Rho1	1	0	0.0
SCAR	1	0	0.0
Sos	3	0	0.13821138211382114
flw	2	0	0.047619047619047616
sls	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	1	0	0.0
dia	1	0	0.0
sns	2	0	0.13588850174216027
sqh	1	0	0.0
hbs	2	0	0.047619047619047616
kirre	1	0	0.0
rst	2	0	0.09291521486643438
rols	1	0	0.0
