#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.047619047619047616
Arfip	2	0	0.09291521486643438
siz	1	0	0.0
Arf79F	1	0	0.0
Rab11	2	0	0.047619047619047616
Rac1	9	0	0.6840882694541232
Arp3	2	0	0.047619047619047616
Arpc1	1	0	0.0
chic	3	0	0.13821138211382114
Ced-12	1	0	0.0
mbc	2	0	0.047619047619047616
Crk	3	0	0.13821138211382114
Egfr	4	0	0.5203252032520325
blow	1	0	0.0
dock	4	0	0.6225319396051103
drk	2	0	0.2845528455284553
Hem	1	0	0.0
SCAR	2	0	0.047619047619047616
Pak	2	0	0.5110336817653891
Pak3	1	0	0.0
PlexB	2	0	0.13588850174216027
Sema2a	2	0	0.09291521486643438
Rac2	1	0	0.0
Rok	2	0	0.047619047619047616
WASp	2	0	0.09291521486643438
Whamy	1	0	0.0
Rho1	1	0	0.0
wbl	2	0	0.047619047619047616
Sos	3	0	0.25667828106852497
flw	3	0	0.1800232288037166
sls	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	2	0	0.047619047619047616
beta-Spec	1	0	0.0
kst	2	0	0.09291521486643438
dia	1	0	0.0
sns	3	0	0.18118466898954705
sqh	1	0	0.0
hbs	2	0	0.047619047619047616
rst	1	0	0.0
kirre	2	0	0.047619047619047616
rols	1	0	0.0
pip	1	0	0.0
