#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05405405405405406
Arfip	2	0	0.10510510510510511
siz	1	0	0.0
Arf79F	3	0	0.24624624624624625
Rab11	1	0	0.0
Rac2	4	0	0.5465465465465466
Sra-1	2	0	0.15315315315315314
Rac1	9	0	0.7912912912912913
Arp3	1	0	0.0
Arpc1	3	0	0.15615615615615616
CG9135	2	0	0.1981981981981982
l(2)35Be	2	0	0.05405405405405406
Ced-12	1	0	0.0
mbc	3	0	0.15615615615615616
Crk	2	0	0.05405405405405406
blow	1	0	0.0
drk	2	0	0.10510510510510511
Hem	2	0	0.05405405405405406
SCAR	1	0	0.0
Pak	2	0	0.27927927927927926
dock	3	0	0.24624624624624625
Pak3	2	0	0.48348348348348347
Rok	2	0	0.10510510510510511
WASp	1	0	0.0
Whamy	1	0	0.0
alpha-Spec	2	0	0.05405405405405406
dia	1	0	0.0
Rho1	2	0	0.05405405405405406
sqh	1	0	0.0
Vrp1	1	0	0.0
beta-Spec	1	0	0.0
hbs	2	0	0.15315315315315314
sns	3	0	0.1066066066066066
kirre	1	0	0.0
pip	1	0	0.0
rols	2	0	0.05405405405405406
sls	1	0	0.0
rst	1	0	0.0
