#node	degree	clustering	betweenness_centrality
14-3-3zeta	2	0	0.04878048780487805
drk	6	0	0.7951219512195122
pip	1	0	0.0
Arf51F	1	0	0.0
siz	2	0	0.04878048780487805
Arf79F	1	0	0.0
Rab11	2	0	0.04878048780487805
Arp3	1	0	0.0
Arpc1	2	0	0.04878048780487805
aos	4	0	0.3097560975609756
Cdc42	3	0	0.18414634146341463
Pak	3	0	0.3024390243902439
WASp	2	0	0.0951219512195122
Whamy	1	0	0.0
Ced-12	1	0	0.0
mbc	3	0	0.2621951219512195
Crk	3	0	0.3304878048780488
blow	1	0	0.0
Egfr	2	0	0.0951219512195122
Hem	1	0	0.0
SCAR	2	0	0.04878048780487805
Rac1	5	0	0.4695121951219512
dock	2	0	0.04878048780487805
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	2	0	0.04878048780487805
Vav	2	0	0.44390243902439025
Rho1	1	0	0.0
Sos	3	0	0.14146341463414633
flw	2	0	0.04878048780487805
sls	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	2	0	0.04878048780487805
beta-Spec	1	0	0.0
dia	1	0	0.0
sgg	3	0	0.14146341463414633
sqh	1	0	0.0
hbs	1	0	0.0
kirre	3	0	0.14146341463414633
rols	2	0	0.18048780487804877
sns	2	0	0.04878048780487805
rst	1	0	0.0
