#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05714285714285715
siz	1	0	0.0
sls	2	0	0.11092436974789917
Arf79F	2	0	0.05714285714285715
Hem	2	0	0.11092436974789917
Rab11	1	0	0.0
Arp3	2	0	0.05714285714285715
Arpc1	1	0	0.0
drk	2	0	0.11092436974789917
Ced-12	1	0	0.0
mbc	3	0	0.3008403361344538
Crk	3	0	0.21344537815126052
blow	1	0	0.0
SCAR	2	0	0.16134453781512606
Pak	2	0	0.292436974789916
Rac1	5	0	0.2672268907563025
dock	4	0	0.5294117647058824
Pak3	1	0	0.0
Rac2	1	0	0.0
WASp	2	0	0.05714285714285715
dia	1	0	0.0
Rho1	3	0	0.11260504201680673
Rok	1	0	0.0
alpha-Cat	2	0	0.16134453781512606
sqh	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
alpha-Spec	4	0	0.35294117647058826
beta-Spec	1	0	0.0
por	2	0	0.05714285714285715
rols	4	0	0.6840336134453782
hbs	2	0	0.48067226890756304
kirre	3	0	0.5579831932773109
sns	2	0	0.05714285714285715
pip	1	0	0.0
rst	1	0	0.0
