#node	degree	clustering	betweenness_centrality
Apc	2	0	0.046511627906976744
arm	4	0	0.3333333333333333
dia	1	0	0.0
Arf51F	1	0	0.0
siz	2	0	0.046511627906976744
Arf79F	2	0	0.046511627906976744
Rab11	1	0	0.0
Sra-1	4	0	0.4440753045404208
Arp3	2	0	0.046511627906976744
Arpc1	1	0	0.0
drk	6	0	0.8062015503875969
CadN	2	0	0.09080841638981174
Ced-12	1	0	0.0
mbc	3	0	0.25138427464008856
Crk	3	0	0.3178294573643411
blow	1	0	0.0
Hem	1	0	0.0
Pak	2	0	0.09080841638981174
Rac1	6	0	0.33665559246954596
dock	2	0	0.046511627906976744
Pak3	1	0	0.0
Rac2	1	0	0.0
WASp	2	0	0.046511627906976744
Whamy	1	0	0.0
Raf	2	0	0.09080841638981174
RpS18	2	0	0.046511627906976744
Rho1	2	0	0.046511627906976744
Rok	1	0	0.0
dsh	2	0	0.09080841638981174
pip	1	0	0.0
SCAR	1	0	0.0
Sos	3	0	0.25138427464008856
flw	3	0	0.1760797342192691
sls	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	2	0	0.046511627906976744
beta-Spec	1	0	0.0
kst	2	0	0.09080841638981174
sqh	1	0	0.0
hbs	2	0	0.09080841638981174
kirre	2	0	0.13289036544850497
rst	2	0	0.046511627906976744
rols	2	0	0.17275747508305647
sns	1	0	0.0
