#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05128205128205128
Arfip	3	0	0.19433198380566802
siz	1	0	0.0
Arf79F	2	0	0.05128205128205128
Rab11	1	0	0.0
Rac1	9	0	0.8326585695006747
Arp3	2	0	0.05128205128205128
Arpc1	1	0	0.0
chic	3	0	0.14844804318488528
Ced-12	1	0	0.0
mbc	4	0	0.28205128205128205
Crk	2	0	0.05128205128205128
blow	1	0	0.0
Hem	1	0	0.0
SCAR	3	0	0.10121457489878542
Pak	2	0	0.437246963562753
dock	5	0	0.47368421052631576
Pak3	1	0	0.0
PlexB	2	0	0.145748987854251
Sema2a	2	0	0.09986504723346828
Rac2	1	0	0.0
Rok	2	0	0.09986504723346828
Whamy	1	0	0.0
Rho1	2	0	0.05128205128205128
sqh	1	0	0.0
WASp	1	0	0.0
wbl	2	0	0.05128205128205128
Sos	2	0	0.05128205128205128
drk	2	0	0.09986504723346828
sls	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	2	0	0.05128205128205128
beta-Spec	1	0	0.0
rols	2	0	0.09986504723346828
dia	1	0	0.0
sns	2	0	0.145748987854251
hbs	2	0	0.05128205128205128
kirre	1	0	0.0
rst	2	0	0.09986504723346828
pip	1	0	0.0
