#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05405405405405406
Arfip	2	0	0.10510510510510511
siz	1	0	0.0
Arf79F	2	0	0.05405405405405406
Hem	2	0	0.10510510510510511
Rab11	1	0	0.0
Rac1	7	0	0.5690690690690691
Arp3	2	0	0.05405405405405406
Arpc1	1	0	0.0
chic	3	0	0.15615615615615616
Ced-12	1	0	0.0
mbc	2	0	0.05405405405405406
Crk	3	0	0.15615615615615616
blow	1	0	0.0
drk	3	0	0.47147147147147145
SCAR	2	0	0.15315315315315314
Pak	2	0	0.48348348348348347
dock	5	0	0.7192192192192192
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	2	0	0.05405405405405406
WASp	2	0	0.05405405405405406
Rho1	1	0	0.0
Sos	4	0	0.2957957957957958
flw	2	0	0.05405405405405406
lva	2	0	0.10510510510510511
sls	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
alpha-Spec	2	0	0.05405405405405406
beta-Spec	1	0	0.0
dia	1	0	0.0
hbs	3	0	0.2042042042042042
sqh	1	0	0.0
kirre	2	0	0.05405405405405406
rst	2	0	0.05405405405405406
rols	1	0	0.0
sns	1	0	0.0
