#node	degree	clustering	betweenness_centrality
Arf51F	1	0	0.0
siz	2	0	0.0625
Arf79F	2	0	0.0625
Hem	2	0	0.12096774193548387
Rab11	1	0	0.0
Arp3	2	0	0.0625
Arpc1	1	0	0.0
drk	4	0	0.5
Ced-12	1	0	0.0
mbc	3	0	0.17943548387096775
Crk	3	0	0.28024193548387094
blow	1	0	0.0
SCAR	2	0	0.1754032258064516
Pak	2	0	0.35282258064516125
Rac1	4	0	0.3326612903225806
dock	6	0	0.7883064516129032
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	2	0	0.1754032258064516
Rho1	3	0	0.12298387096774194
dia	1	0	0.0
sqh	1	0	0.0
WASp	3	0	0.28024193548387094
Vrp1	1	0	0.0
Whamy	1	0	0.0
alpha-Spec	1	0	0.0
beta-Spec	2	0	0.0625
hbs	3	0	0.17943548387096775
kirre	1	0	0.0
rst	2	0	0.0625
rols	2	0	0.0625
sls	1	0	0.0
sns	1	0	0.0
