#node	degree	clustering	betweenness_centrality
Abl	2	0	0.2672064777327935
Egfr	4	0	0.24021592442645073
drk	3	0	0.3832658569500675
Ack	2	0	0.3913630229419703
dock	8	0	0.8434547908232118
Arf51F	1	0	0.0
siz	2	0	0.05128205128205128
Arf79F	1	0	0.0
Rab11	2	0	0.05128205128205128
Arp3	2	0	0.05128205128205128
Arpc1	1	0	0.0
CG4611	2	0	0.05128205128205128
SCAR	3	0	0.14844804318488528
pip	1	0	0.0
Ced-12	1	0	0.0
Rac1	8	0	0.33063427800269907
Crk	1	0	0.0
Hem	1	0	0.0
Pak	2	0	0.33468286099865047
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	1	0	0.0
WASp	1	0	0.0
Whamy	1	0	0.0
dia	1	0	0.0
Rho1	1	0	0.0
sqh	2	0	0.05128205128205128
Sos	2	0	0.05128205128205128
sls	1	0	0.0
Vrp1	2	0	0.05128205128205128
blow	1	0	0.0
alpha-Spec	1	0	0.0
beta-Spec	2	0	0.05128205128205128
msn	3	0	0.19433198380566802
kirre	3	0	0.14844804318488528
sns	2	0	0.05128205128205128
hbs	1	0	0.0
rols	2	0	0.05128205128205128
mbc	1	0	0.0
rst	1	0	0.0
