#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05714285714285715
Arfip	2	0	0.11092436974789917
siz	1	0	0.0
Arf79F	2	0	0.05714285714285715
Hem	2	0	0.11092436974789917
Rab11	1	0	0.0
Rac1	6	0	0.48067226890756304
Arp3	2	0	0.16134453781512606
Arpc1	2	0	0.11092436974789917
drk	3	0	0.4605042016806723
wbl	2	0	0.05714285714285715
Ced-12	1	0	0.0
mbc	3	0	0.25882352941176473
Crk	4	0	0.653781512605042
WASp	4	0	0.6100840336134454
blow	1	0	0.0
SCAR	2	0	0.16134453781512606
Pak	1	0	0.0
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	2	0	0.16134453781512606
Rho1	3	0	0.11260504201680673
dia	1	0	0.0
sqh	1	0	0.0
Vrp1	1	0	0.0
dock	3	0	0.25882352941176473
Whamy	1	0	0.0
alpha-Spec	2	0	0.05714285714285715
beta-Spec	1	0	0.0
rols	3	0	0.16470588235294117
hbs	3	0	0.16470588235294117
kirre	1	0	0.0
rst	2	0	0.05714285714285715
pip	1	0	0.0
sls	1	0	0.0
sns	1	0	0.0
