#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05714285714285715
Arfip	2	0	0.11092436974789917
siz	1	0	0.0
Arf79F	2	0	0.05714285714285715
Hem	2	0	0.11092436974789917
Rab11	1	0	0.0
Rac1	5	0	0.438655462184874
Arp3	2	0	0.05714285714285715
Arpc1	1	0	0.0
drk	4	0	0.5075630252100841
Ced-12	1	0	0.0
mbc	2	0	0.05714285714285715
Crk	3	0	0.16470588235294117
blow	1	0	0.0
SCAR	2	0	0.16134453781512606
Pak	2	0	0.42016806722689076
dock	5	0	0.7546218487394959
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	2	0	0.16134453781512606
Rho1	3	0	0.11260504201680673
dia	1	0	0.0
sqh	1	0	0.0
WASp	3	0	0.25882352941176473
Sos	3	0	0.21344537815126052
lva	2	0	0.11092436974789917
sls	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
alpha-Spec	2	0	0.05714285714285715
beta-Spec	1	0	0.0
hbs	3	0	0.21512605042016808
kirre	2	0	0.05714285714285715
sns	2	0	0.05714285714285715
rols	1	0	0.0
rst	1	0	0.0
