#node	degree	clustering	betweenness_centrality
Abi	4	0	0.1671497584541063
Abl	3	0	0.4975845410628019
Hem	1	0	0.0
SCAR	1	0	0.0
WASp	2	0	0.043478260869565216
Egfr	6	0	0.7565217391304347
flw	5	0	0.3497584541062802
Arf51F	2	0	0.043478260869565216
Arfip	2	0	0.08502415458937197
siz	1	0	0.0
Arf79F	1	0	0.0
Rab11	2	0	0.043478260869565216
Rac1	7	0	0.44830917874396137
Arp3	2	0	0.043478260869565216
Arpc1	1	0	0.0
chic	3	0	0.12657004830917873
Ced-12	1	0	0.0
mbc	3	0	0.23671497584541062
Crk	3	0	0.3004830917874396
blow	1	0	0.0
Raf	2	0	0.08502415458937197
Vav	2	0	0.4144927536231884
sty	2	0	0.043478260869565216
Mbs	2	0	0.08502415458937197
Rho1	2	0	0.043478260869565216
Pak	2	0	0.043478260869565216
dock	1	0	0.0
Pak3	1	0	0.0
Rac2	1	0	0.0
Whamy	1	0	0.0
RpS18	2	0	0.043478260869565216
Rok	1	0	0.0
pip	1	0	0.0
Sos	2	0	0.043478260869565216
sls	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	2	0	0.043478260869565216
beta-Spec	1	0	0.0
kst	2	0	0.08502415458937197
dia	1	0	0.0
drk	1	0	0.0
sqh	1	0	0.0
hbs	1	0	0.0
kirre	3	0	0.12657004830917873
rols	2	0	0.16231884057971013
sns	2	0	0.043478260869565216
rst	1	0	0.0
