#node	degree	clustering	betweenness_centrality
Arf51F	1	0	0.0
siz	2	0	0.052631578947368425
Arf79F	1	0	0.0
Rab11	2	0	0.052631578947368425
Arp3	2	0	0.14935988620199148
Arpc1	2	0	0.10241820768136559
Egfr	7	0	0.7467994310099574
wbl	2	0	0.052631578947368425
Ced-12	1	0	0.0
mbc	2	0	0.052631578947368425
Crk	3	0	0.15220483641536273
blow	1	0	0.0
Rok	2	0	0.10241820768136559
dock	5	0	0.6344238975817923
drk	2	0	0.14935988620199148
spi	2	0	0.10241820768136559
Hem	1	0	0.0
SCAR	3	0	0.35135135135135137
Pak	1	0	0.0
Rac1	6	0	0.24893314366998578
Pak3	1	0	0.0
Rac2	1	0	0.0
WASp	2	0	0.27311522048364156
Whamy	1	0	0.0
dia	1	0	0.0
Rho1	2	0	0.052631578947368425
sqh	1	0	0.0
Sos	2	0	0.10241820768136559
alpha-Spec	2	0	0.052631578947368425
Vrp1	1	0	0.0
beta-Spec	1	0	0.0
aos	2	0	0.052631578947368425
sls	1	0	0.0
sns	3	0	0.197724039829303
hbs	2	0	0.10241820768136559
kirre	2	0	0.052631578947368425
rols	1	0	0.0
pip	1	0	0.0
rst	1	0	0.0
