#node	degree	clustering	betweenness_centrality
Arf51F	1	0	0.0
siz	2	0	0.05405405405405406
Arf79F	2	0	0.05405405405405406
Hem	3	0	0.15615615615615616
Rab11	1	0	0.0
Arp3	2	0	0.05405405405405406
Arpc1	1	0	0.0
drk	3	0	0.2042042042042042
C3G	2	0	0.24024024024024024
Crk	3	0	0.32432432432432434
Ced-12	1	0	0.0
mbc	4	0	0.25075075075075076
WASp	2	0	0.3483483483483483
blow	1	0	0.0
SCAR	1	0	0.0
dock	8	0	0.8663663663663663
Pak	2	0	0.1981981981981982
Rac1	4	0	0.15765765765765766
Pak3	1	0	0.0
Rac2	1	0	0.0
dia	1	0	0.0
Rho1	3	0	0.1066066066066066
Rok	1	0	0.0
sqh	1	0	0.0
stan	3	0	0.24924924924924924
Sos	2	0	0.05405405405405406
sls	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
ps	3	0	0.1066066066066066
alpha-Spec	1	0	0.0
beta-Spec	2	0	0.05405405405405406
rst	3	0	0.15615615615615616
hbs	2	0	0.05405405405405406
kirre	1	0	0.0
rols	1	0	0.0
pip	1	0	0.0
sns	1	0	0.0
