#node	degree	clustering	betweenness_centrality
14-3-3zeta	3	0	0.14844804318488528
Arf51F	2	0	0.05128205128205128
alpha-Spec	4	0	0.5978407557354926
pip	1	0	0.0
Act42A	3	0	0.3508771929824561
Arp3	2	0	0.05128205128205128
Raf	2	0	0.22941970310391363
WASp	3	0	0.50472334682861
siz	1	0	0.0
Arf79F	2	0	0.05128205128205128
Hem	2	0	0.09986504723346828
Rab11	1	0	0.0
Arpc1	1	0	0.0
Ced-12	1	0	0.0
mbc	3	0	0.14844804318488528
Crk	2	0	0.05128205128205128
blow	1	0	0.0
SCAR	2	0	0.145748987854251
Hrs	2	0	0.05128205128205128
beta-Spec	2	0	0.09986504723346828
dia	1	0	0.0
Pak	2	0	0.09986504723346828
Rac1	7	0	0.6882591093117408
dock	2	0	0.05128205128205128
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	2	0	0.05128205128205128
Whamy	1	0	0.0
drk	2	0	0.18893387314439944
Rho1	1	0	0.0
Sos	3	0	0.14844804318488528
flw	2	0	0.05128205128205128
sls	1	0	0.0
Vrp1	1	0	0.0
rols	3	0	0.3562753036437247
sqh	1	0	0.0
hbs	1	0	0.0
kirre	3	0	0.14844804318488528
sns	2	0	0.05128205128205128
rst	1	0	0.0
