#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.09090909090909091
Arfip	2	0	0.17316017316017315
siz	1	0	0.0
Rac1	6	0	0.5887445887445888
Ced-12	1	0	0.0
mbc	2	0	0.09090909090909091
Hem	1	0	0.0
SCAR	2	0	0.09090909090909091
Pak	2	0	0.5064935064935064
dock	4	0	0.6753246753246753
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	2	0	0.09090909090909091
Whamy	1	0	0.0
Rho1	1	0	0.0
Vrp1	2	0	0.09090909090909091
blow	1	0	0.0
kirre	3	0	0.5064935064935064
hbs	2	0	0.17316017316017315
rst	2	0	0.09090909090909091
rols	3	0	0.2554112554112554
sls	1	0	0.0
sns	1	0	0.0
