#node	degree	clustering	betweenness_centrality
Arf51F	1	0	0.0
siz	2	0	0.058823529411764705
Arf79F	2	0	0.058823529411764705
Hem	2	0	0.1140819964349376
Rab11	1	0	0.0
Arp3	2	0	0.1657754010695187
Arpc1	2	0	0.1140819964349376
drk	4	0	0.5989304812834224
wbl	2	0	0.058823529411764705
Ced-12	1	0	0.0
mbc	3	0	0.2655971479500891
Crk	3	0	0.34759358288770054
WASp	3	0	0.2655971479500891
blow	1	0	0.0
SCAR	2	0	0.1657754010695187
Pak	2	0	0.2994652406417112
Rac1	6	0	0.6631016042780749
dock	4	0	0.2727272727272727
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	3	0	0.5686274509803921
dia	1	0	0.0
Rho1	2	0	0.058823529411764705
sqh	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
alpha-Spec	1	0	0.0
beta-Spec	2	0	0.058823529411764705
sns	2	0	0.058823529411764705
hbs	1	0	0.0
kirre	2	0	0.058823529411764705
rols	3	0	0.16934046345811052
pip	1	0	0.0
sls	1	0	0.0
rst	1	0	0.0
