#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05555555555555555
Arfip	2	0	0.10793650793650794
siz	1	0	0.0
Arf79F	2	0	0.05555555555555555
Hem	2	0	0.10793650793650794
Rab11	1	0	0.0
Rac1	10	0	0.8587301587301587
Arp3	1	0	0.0
Arpc1	2	0	0.05555555555555555
WASp	4	0	0.34444444444444444
Ced-12	1	0	0.0
mbc	4	0	0.4174603174603175
Crk	2	0	0.05555555555555555
blow	1	0	0.0
SCAR	2	0	0.15714285714285714
Pak	2	0	0.10793650793650794
dock	2	0	0.05555555555555555
Pak3	1	0	0.0
Rac2	1	0	0.0
RhoGAP18B	2	0	0.05555555555555555
Rok	2	0	0.10793650793650794
alpha-Spec	3	0	0.16031746031746033
dia	1	0	0.0
Rho1	2	0	0.05555555555555555
sqh	1	0	0.0
drk	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
beta-Spec	1	0	0.0
por	2	0	0.05555555555555555
hbs	2	0	0.10793650793650794
kirre	2	0	0.15714285714285714
rst	2	0	0.05555555555555555
rols	3	0	0.2523809523809524
pip	1	0	0.0
sls	1	0	0.0
sns	1	0	0.0
