#node	degree	clustering	betweenness_centrality
Ack	2	0	0.13902439024390245
dock	4	0	0.3804878048780488
drk	2	0	0.0951219512195122
Arf51F	2	0	0.04878048780487805
Arfip	3	0	0.18536585365853658
siz	1	0	0.0
Arf79F	2	0	0.04878048780487805
Rab11	1	0	0.0
Rac1	9	0	0.85
Arp3	2	0	0.04878048780487805
Arpc1	1	0	0.0
chic	4	0	0.3073170731707317
Ced-12	1	0	0.0
mbc	4	0	0.26951219512195124
Crk	2	0	0.04878048780487805
blow	1	0	0.0
Hem	1	0	0.0
SCAR	2	0	0.04878048780487805
Pak	2	0	0.3780487804878049
Pak3	1	0	0.0
PlexB	2	0	0.13902439024390245
Sema2a	2	0	0.0951219512195122
Rac2	1	0	0.0
WASp	2	0	0.0951219512195122
Whamy	1	0	0.0
Rho1	3	0	0.09634146341463415
Rok	1	0	0.0
capu	2	0	0.13902439024390245
sqh	1	0	0.0
wbl	2	0	0.04878048780487805
Sos	2	0	0.04878048780487805
sls	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	2	0	0.04878048780487805
beta-Spec	1	0	0.0
rols	2	0	0.0951219512195122
dia	1	0	0.0
sns	2	0	0.13902439024390245
hbs	2	0	0.04878048780487805
kirre	1	0	0.0
rst	2	0	0.0951219512195122
pip	1	0	0.0
