#node	degree	clustering	betweenness_centrality
Abi	4	0	0.1303030303030303
Abl	2	0	0.16565656565656567
Hem	1	0	0.0
SCAR	1	0	0.0
WASp	1	0	0.0
flw	5	0	0.4505050505050505
Apc	2	0	0.044444444444444446
arm	3	0	0.2080808080808081
dia	1	0	0.0
Arf51F	1	0	0.0
siz	2	0	0.044444444444444446
Arf79F	1	0	0.0
Rab11	2	0	0.044444444444444446
Arp3	2	0	0.044444444444444446
Arpc1	1	0	0.0
Egfr	6	0	0.7373737373737373
CadN	2	0	0.08686868686868687
Ced-12	1	0	0.0
mbc	2	0	0.044444444444444446
Crk	3	0	0.1292929292929293
blow	1	0	0.0
dock	4	0	0.4131313131313131
drk	3	0	0.5363636363636364
Mbs	2	0	0.08686868686868687
Rho1	2	0	0.044444444444444446
Pak	2	0	0.16565656565656567
Rac1	4	0	0.1303030303030303
Pak3	1	0	0.0
Rac2	1	0	0.0
Whamy	1	0	0.0
Raf	2	0	0.08686868686868687
RpS18	2	0	0.044444444444444446
Rok	1	0	0.0
pip	1	0	0.0
Sos	3	0	0.45151515151515154
sls	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	2	0	0.044444444444444446
beta-Spec	1	0	0.0
kst	2	0	0.08686868686868687
hbs	3	0	0.1696969696969697
sqh	1	0	0.0
kirre	2	0	0.044444444444444446
rst	2	0	0.044444444444444446
rols	1	0	0.0
sns	1	0	0.0
