#node	degree	clustering	betweenness_centrality
Arf51F	1	0	0.0
siz	2	0	0.058823529411764705
Arf79F	2	0	0.058823529411764705
Hem	2	0	0.1140819964349376
Rab11	1	0	0.0
Arp3	2	0	0.058823529411764705
Arpc1	1	0	0.0
drk	2	0	0.1140819964349376
Ced-12	1	0	0.0
mbc	4	0	0.4420677361853832
Crk	3	0	0.2192513368983957
blow	1	0	0.0
SCAR	2	0	0.1657754010695187
Pak	2	0	0.3368983957219251
Rac1	4	0	0.3190730837789661
dock	5	0	0.6577540106951871
Pak3	1	0	0.0
Rac2	2	0	0.058823529411764705
Rok	2	0	0.1140819964349376
dia	1	0	0.0
Rho1	2	0	0.058823529411764705
sqh	1	0	0.0
WASp	2	0	0.21390374331550802
Vrp1	1	0	0.0
Whamy	1	0	0.0
ps	3	0	0.11586452762923351
alpha-Spec	2	0	0.058823529411764705
beta-Spec	1	0	0.0
rols	4	0	0.5436720142602495
kirre	4	0	0.5935828877005347
hbs	1	0	0.0
sns	2	0	0.058823529411764705
pip	1	0	0.0
sls	1	0	0.0
rst	1	0	0.0
