#node	degree	clustering	betweenness_centrality
14-3-3zeta	2	0	0.046511627906976744
Fas2	5	0	0.4363233665559247
pip	1	0	0.0
Act88F	2	0	0.46511627906976744
chic	4	0	0.4883720930232558
sls	3	0	0.6777408637873754
Arf51F	1	0	0.0
siz	2	0	0.046511627906976744
Arf79F	1	0	0.0
Rab11	2	0	0.046511627906976744
Arp3	2	0	0.046511627906976744
Arpc1	1	0	0.0
Ced-12	1	0	0.0
mbc	2	0	0.046511627906976744
Crk	3	0	0.13510520487264674
blow	1	0	0.0
drk	2	0	0.17275747508305647
Egfr	3	0	0.2901439645625692
sty	3	0	0.47619047619047616
Mbs	3	0	0.17718715393133996
beta-Spec	2	0	0.046511627906976744
Hem	1	0	0.0
Sra-1	2	0	0.046511627906976744
Rho1	2	0	0.046511627906976744
flw	2	0	0.046511627906976744
Nedd4	2	0	0.44961240310077516
Pak	2	0	0.09080841638981174
Rac1	7	0	0.4097452934662237
dock	2	0	0.046511627906976744
Pak3	1	0	0.0
Rac2	1	0	0.0
WASp	2	0	0.046511627906976744
Whamy	1	0	0.0
Rok	1	0	0.0
SCAR	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	1	0	0.0
dia	1	0	0.0
sqh	1	0	0.0
hbs	2	0	0.09080841638981174
kirre	2	0	0.046511627906976744
sns	2	0	0.13289036544850497
rols	1	0	0.0
rst	2	0	0.17275747508305647
