#node	degree	clustering	betweenness_centrality
kirre	2	0	0.14935988620199148
hbs	2	0	0.10241820768136559
rols	5	0	0.7183499288762447
sqh	1	0	0.0
sqa	2	0	0.052631578947368425
CenB1A	2	0	0.052631578947368425
Rab11	1	0	0.0
dock	2	0	0.10241820768136559
blow	3	0	0.5106685633001423
mbc	4	0	0.4665718349928876
sls	2	0	0.10241820768136559
spn-B	2	0	0.10241820768136559
Rac1	2	0	0.10241820768136559
Rok	2	0	0.052631578947368425
Whamy	3	0	0.24324324324324326
WASp	3	0	0.39687055476529165
Arp3	2	0	0.10241820768136559
Vrp1	3	0	0.5049786628733998
Ced-12	3	0	0.28591749644381226
Rac2	3	0	0.10384068278805121
drk	2	0	0.10241820768136559
Pak	1	0	0.0
SCAR	2	0	0.10241820768136559
beta-Spec	2	0	0.052631578947368425
alpha-Spec	1	0	0.0
rst	2	0	0.052631578947368425
sns	1	0	0.0
Rho1	1	0	0.0
Pak3	1	0	0.0
Arf51F	2	0	0.052631578947368425
siz	1	0	0.0
Hem	2	0	0.052631578947368425
Crk	1	0	0.0
ps	2	0	0.052631578947368425
pip	1	0	0.0
dia	1	0	0.0
Arpc4	2	0	0.052631578947368425
Arf79F	1	0	0.0
Arpc1	1	0	0.0
