#node	degree	clustering	betweenness_centrality
mbc	4	0	0.4665718349928876
Ced-12	3	0	0.28591749644381226
Pak	1	0	0.0
SCAR	2	0	0.10241820768136559
rols	5	0	0.7183499288762447
Pak3	1	0	0.0
Rac2	3	0	0.10384068278805121
WASp	3	0	0.39687055476529165
Arp3	2	0	0.10241820768136559
Vrp1	3	0	0.5049786628733998
Whamy	3	0	0.24324324324324326
dia	1	0	0.0
sls	2	0	0.10241820768136559
Arf51F	2	0	0.052631578947368425
sqh	1	0	0.0
sqa	2	0	0.052631578947368425
pip	1	0	0.0
ps	2	0	0.052631578947368425
Arpc4	2	0	0.052631578947368425
Crk	1	0	0.0
blow	3	0	0.5106685633001423
kirre	2	0	0.14935988620199148
spn-B	2	0	0.10241820768136559
beta-Spec	2	0	0.052631578947368425
rst	2	0	0.052631578947368425
hbs	2	0	0.10241820768136559
sns	1	0	0.0
Arpc1	1	0	0.0
alpha-Spec	1	0	0.0
CenB1A	2	0	0.052631578947368425
Rab11	1	0	0.0
dock	2	0	0.10241820768136559
drk	2	0	0.10241820768136559
Hem	2	0	0.052631578947368425
Arf79F	1	0	0.0
Rok	2	0	0.052631578947368425
Rac1	2	0	0.10241820768136559
Rho1	1	0	0.0
siz	1	0	0.0
