protein1	protein2	cost	in_solution
Whamy	Rac1	1.060865	True
Whamy	WASp	1.060865	
SCAR	Crk	1.1252303	
SCAR	Hem	0.7063527	True
SCAR	Rac1	1.1252303	
SCAR	Rac2	1.1252303	
SCAR	WASp	0.7011461999999999	True
SCAR	dock	0.7358376	
SCAR	drk	1.1252303	
SCAR	mbc	1.1252303	
Hem	Arf79F	0.9348131	True
Hem	Rac1	1.0952826	
Hem	Rac2	1.0952826	
Hem	WASp	1.060865	
Hem	dock	1.0952826	
Hem	drk	1.1252303	
Rab11	Arf79F	0.8486806	True
Rab11	Rac2	1.1717938	
rst	dock	0.8266118	
rst	drk	1.1252303	
rst	hbs	0.6464098	True
rst	kirre	0.9310917	
rst	sns	0.5764158	True
Arpc1	Arp3	0.7657423000000001	True
Arpc1	Pak	1.1252303	
Arpc1	WASp	1.1071073	
Arpc1	wbl	1.1717938	True
Vrp1	Crk	0.9348131	
Vrp1	WASp	0.7966754	
Vrp1	blow	0.9348131	
Vrp1	dock	0.7738670999999999	True
pip	wbl	0.6412891	True
dock	Crk	1.0952826	
dock	Pak	0.567334	True
dock	Rac1	1.1252303	
dock	Rac2	1.1252303	
dock	WASp	0.7201811	
dock	drk	0.7172736	True
dock	hbs	0.7214822	
dock	kirre	0.7660425000000001	
dock	mbc	1.0952826	
dock	siz	1.1717938	
dock	sns	0.7214822	
sqh	Rho1	0.9484353000000001	True
rols	alpha-Spec	1.1252303	True
rols	blow	0.9670238999999999	
rols	kirre	0.6620813	True
rols	mbc	0.6693754	True
rols	sls	1.0546616000000002	True
siz	Arf51F	0.8557636999999999	True
Pak	Rac1	0.5576127	True
Pak	Rac2	0.6974895999999999	
Pak	drk	1.0952826	
Pak	mbc	1.1252303	
beta-Spec	alpha-Spec	0.5371136999999999	True
beta-Spec	drk	1.1252303	
dia	Rac1	1.1252303	
dia	Rac2	1.1252303	True
dia	Rho1	1.1252303	
blow	Crk	0.8278468000000001	True
Rho1	Rok	0.5655272	True
sns	Crk	0.9348131	
sns	hbs	0.653712	
sns	kirre	0.6613919	
sls	Arf51F	1.1717938	True
alpha-Spec	Crk	1.1717938	
alpha-Spec	Rac1	1.1717938	
kirre	drk	1.1252303	
kirre	hbs	0.6457133	True
WASp	Arp3	1.140227	
WASp	Crk	0.8326261999999999	
WASp	Rac1	0.6860725999999999	True
WASp	Rac2	1.0952826	
WASp	drk	1.0714511	
Rac1	Ced-12	1.1252303	
Rac1	Pak3	0.6315214	True
Rac1	Rac2	0.599155	True
Rac1	Rok	0.7949651	True
Rac1	mbc	0.8945827	
Rok	drk	0.9785927	
Rac2	Arf79F	1.1717938	
Rac2	Ced-12	1.1252303	
Rac2	Pak3	0.9348131	
Rac2	mbc	1.0727806	
Ced-12	Crk	1.1476479	
Ced-12	drk	1.1252303	
Ced-12	mbc	0.7125587	True
Crk	drk	0.6936151999999999	True
Crk	mbc	0.5652607	True
Arp3	drk	0.9785927	True
drk	mbc	1.0750392	
