#node	degree	clustering	betweenness_centrality
Crk	1	0	0.0
blow	3	0	0.5106685633001423
Arpc4	2	0	0.052631578947368425
Arp3	2	0	0.10241820768136559
Arpc1	1	0	0.0
Rok	2	0	0.052631578947368425
Rac1	2	0	0.10241820768136559
Rho1	1	0	0.0
rols	5	0	0.7183499288762447
kirre	2	0	0.14935988620199148
mbc	4	0	0.4665718349928876
sls	2	0	0.10241820768136559
spn-B	2	0	0.10241820768136559
sns	1	0	0.0
rst	2	0	0.052631578947368425
WASp	3	0	0.39687055476529165
pip	1	0	0.0
ps	2	0	0.052631578947368425
Arf51F	2	0	0.052631578947368425
siz	1	0	0.0
Pak	1	0	0.0
hbs	2	0	0.10241820768136559
Whamy	3	0	0.24324324324324326
CenB1A	2	0	0.052631578947368425
Rab11	1	0	0.0
dock	2	0	0.10241820768136559
beta-Spec	2	0	0.052631578947368425
Pak3	1	0	0.0
Rac2	3	0	0.10384068278805121
sqa	2	0	0.052631578947368425
drk	2	0	0.10241820768136559
sqh	1	0	0.0
Hem	2	0	0.052631578947368425
Arf79F	1	0	0.0
SCAR	2	0	0.10241820768136559
alpha-Spec	1	0	0.0
Ced-12	3	0	0.28591749644381226
Vrp1	3	0	0.5049786628733998
dia	1	0	0.0
