protein1	protein2	cost	in_solution
kirre	dock	0.7660425000000001	
kirre	drk	1.1252303	
kirre	hbs	0.6457133	True
kirre	rols	0.6620813	True
kirre	rst	0.9310917	
kirre	sns	0.6613919	
Arf79F	Hem	0.9348131	True
Arf79F	Rab11	0.8486806	True
Arf79F	Rac2	1.1717938	
drk	Arp3	0.9785927	True
drk	Ced-12	1.1252303	
drk	Crk	0.6936151999999999	True
drk	Hem	1.1252303	
drk	Pak	1.0952826	
drk	Rok	0.9785927	
drk	SCAR	1.1252303	
drk	WASp	1.0714511	
drk	beta-Spec	1.1252303	
drk	dock	0.7172736	
drk	mbc	1.0750392	
drk	rst	1.1252303	
WASp	Arp3	1.140227	
WASp	Arpc1	1.1071073	
WASp	Crk	0.8326261999999999	
WASp	Hem	1.060865	
WASp	Rac1	0.6860725999999999	True
WASp	Rac2	1.0952826	
WASp	SCAR	0.7011461999999999	True
WASp	Vrp1	0.7966754	
WASp	Whamy	1.060865	
WASp	dock	0.7201811	
Rok	Rac1	0.7949651	True
Rok	Rho1	0.5655272	True
alpha-Spec	Crk	1.1717938	
alpha-Spec	Rac1	1.1717938	
alpha-Spec	beta-Spec	0.5371136999999999	True
alpha-Spec	rols	1.1252303	True
Rac2	Ced-12	1.1252303	
Rac2	Hem	1.0952826	
Rac2	Pak	0.6974895999999999	
Rac2	Pak3	0.9348131	
Rac2	Rab11	1.1717938	
Rac2	Rac1	0.599155	True
Rac2	SCAR	1.1252303	
Rac2	dia	1.1252303	True
Rac2	dock	1.1252303	
Rac2	mbc	1.0727806	
Arf51F	siz	0.8557636999999999	True
Arf51F	sls	1.1717938	True
Arpc1	Arp3	0.7657423000000001	True
Arpc1	Pak	1.1252303	
Arpc1	wbl	1.1717938	True
Whamy	Rac1	1.060865	True
Rac1	Ced-12	1.1252303	
Rac1	Hem	1.0952826	
Rac1	Pak	0.5576127	True
Rac1	Pak3	0.6315214	True
Rac1	SCAR	1.1252303	
Rac1	dia	1.1252303	
Rac1	dock	1.1252303	
Rac1	mbc	0.8945827	
rst	dock	0.8266118	
rst	hbs	0.6464098	True
rst	sns	0.5764158	True
dock	Crk	1.0952826	
dock	Hem	1.0952826	
dock	Pak	0.567334	True
dock	SCAR	0.7358376	
dock	Vrp1	0.7738670999999999	True
dock	hbs	0.7214822	True
dock	mbc	1.0952826	
dock	siz	1.1717938	
dock	sns	0.7214822	
hbs	sns	0.653712	
Hem	SCAR	0.7063527	True
pip	wbl	0.6412891	True
Ced-12	Crk	1.1476479	
Ced-12	mbc	0.7125587	True
Rho1	dia	1.1252303	
Rho1	sqh	0.9484353000000001	True
SCAR	Crk	1.1252303	
SCAR	mbc	1.1252303	
rols	blow	0.9670238999999999	
rols	mbc	0.6693754	True
rols	sls	1.0546616000000002	True
Crk	Vrp1	0.9348131	
Crk	blow	0.8278468000000001	True
Crk	mbc	0.5652607	True
Crk	sns	0.9348131	
blow	Vrp1	0.9348131	
Pak	mbc	1.1252303	
