protein1	protein2	in_solution	cost
Whamy	Rac1	True	1.060865
Whamy	WASp		1.060865
Whamy	ps	True	0.9540791
Rac2	Arf79F		1.1717938
Rac2	Ced-12		1.1252303
Rac2	Hem		1.0952826
Rac2	Pak		0.6974895999999999
Rac2	Pak3		0.9348131
Rac2	Rab11	True	1.1717938
Rac2	Rac1	True	0.599155
Rac2	SCAR		1.1252303
Rac2	WASp		1.0952826
Rac2	dia	True	1.1252303
Rac2	dock		1.1252303
Rac2	mbc		1.0727806
Vrp1	Crk		0.9348131
Vrp1	WASp	True	0.7966754
Vrp1	blow		0.9348131
Vrp1	dock	True	0.7738670999999999
rst	dock		0.8266118
rst	drk		1.1252303
rst	hbs	True	0.6464098
rst	kirre		0.9310917
rst	sns	True	0.5764158
sqh	Rho1	True	0.9484353000000001
Ced-12	Crk		1.1476479
Ced-12	Rac1		1.1252303
Ced-12	drk		1.1252303
Ced-12	mbc	True	0.7125587
pip	ps	True	0.9540791
blow	Crk	True	0.8278468000000001
blow	rols		0.9670238999999999
sns	Crk		0.9348131
sns	dock		0.7214822
sns	hbs		0.653712
sns	kirre		0.6613919
SCAR	Crk		1.1252303
SCAR	Hem	True	0.7063527
SCAR	Rac1		1.1252303
SCAR	WASp	True	0.7011461999999999
SCAR	dock		0.7358376
SCAR	drk		1.1252303
SCAR	mbc		1.1252303
WASp	Arp3	True	1.140227
WASp	Arpc1		1.1071073
WASp	Crk		0.8326261999999999
WASp	Hem		1.060865
WASp	Rac1		0.6860725999999999
WASp	dock		0.7201811
WASp	drk		1.0714511
drk	Arp3		0.9785927
drk	Crk		0.6936151999999999
drk	Hem		1.1252303
drk	Pak		1.0952826
drk	Rok	True	0.9785927
drk	beta-Spec		1.1252303
drk	dock		0.7172736
drk	kirre		1.1252303
drk	mbc		1.0750392
dia	Rac1		1.1252303
dia	Rho1		1.1252303
Hem	Arf79F	True	0.9348131
Hem	Rac1		1.0952826
Hem	dock		1.0952826
Rac1	Pak	True	0.5576127
Rac1	Pak3	True	0.6315214
Rac1	Rok	True	0.7949651
Rac1	alpha-Spec		1.1717938
Rac1	dock		1.1252303
Rac1	mbc		0.8945827
Arpc1	Arp3	True	0.7657423000000001
Arpc1	Pak		1.1252303
ps	mbc		0.9540791
dock	Crk		1.0952826
dock	Pak	True	0.567334
dock	hbs	True	0.7214822
dock	kirre		0.7660425000000001
dock	mbc		1.0952826
dock	siz		1.1717938
sls	Arf51F	True	1.1717938
sls	rols	True	1.0546616000000002
alpha-Spec	Crk		1.1717938
alpha-Spec	beta-Spec	True	0.5371136999999999
alpha-Spec	rols	True	1.1252303
siz	Arf51F	True	0.8557636999999999
mbc	Crk	True	0.5652607
mbc	Pak		1.1252303
mbc	rols	True	0.6693754
hbs	kirre	True	0.6457133
Rab11	Arf79F		0.8486806
Rho1	Rok	True	0.5655272
rols	kirre	True	0.6620813
