protein1	protein2	cost	in_solution
Rac1	Ced-12	1.1252303	
Rac1	Hem	1.0952826	
Rac1	Pak	0.5576127	True
Rac1	Pak3	0.6315214	True
Rac1	Rac2	0.599155	True
Rac1	Rok	0.7949651	True
Rac1	SCAR	1.1252303	
Rac1	WASp	0.6860725999999999	True
Rac1	Whamy	1.060865	True
Rac1	alpha-Spec	1.1717938	
Rac1	dia	1.1252303	
Rac1	dock	1.1252303	
Rac1	mbc	0.8945827	
Hem	Arf79F	0.9348131	True
Hem	Rac2	1.0952826	
Hem	SCAR	0.7063527	True
Hem	WASp	1.060865	
Hem	dock	1.0952826	
Hem	drk	1.1252303	
Arp3	Arpc1	0.7657423000000001	True
Arp3	WASp	1.140227	
Arp3	drk	0.9785927	True
drk	Ced-12	1.1252303	
drk	Crk	0.6936151999999999	True
drk	Pak	1.0952826	
drk	Rok	0.9785927	
drk	SCAR	1.1252303	
drk	WASp	1.0714511	
drk	beta-Spec	1.1252303	
drk	dock	0.7172736	
drk	kirre	1.1252303	
drk	mbc	1.0750392	
drk	rst	1.1252303	
Vrp1	Crk	0.9348131	
Vrp1	WASp	0.7966754	
Vrp1	blow	0.9348131	
Vrp1	dock	0.7738670999999999	True
SCAR	Crk	1.1252303	
SCAR	Rac2	1.1252303	
SCAR	WASp	0.7011461999999999	True
SCAR	dock	0.7358376	
SCAR	mbc	1.1252303	
pip	wbl	0.6412891	True
Crk	Ced-12	1.1476479	
Crk	WASp	0.8326261999999999	
Crk	alpha-Spec	1.1717938	
Crk	blow	0.8278468000000001	True
Crk	dock	1.0952826	
Crk	mbc	0.5652607	True
Crk	sns	0.9348131	
Whamy	WASp	1.060865	
mbc	Ced-12	0.7125587	True
mbc	Pak	1.1252303	
mbc	Rac2	1.0727806	
mbc	dock	1.0952826	
mbc	rols	0.6693754	True
blow	rols	0.9670238999999999	
rols	alpha-Spec	1.1252303	True
rols	kirre	0.6620813	True
rols	sls	1.0546616000000002	True
dia	Rac2	1.1252303	True
dia	Rho1	1.1252303	
Rok	Rho1	0.5655272	True
Rac2	Arf79F	1.1717938	
Rac2	Ced-12	1.1252303	
Rac2	Pak	0.6974895999999999	
Rac2	Pak3	0.9348131	
Rac2	Rab11	1.1717938	
Rac2	WASp	1.0952826	
Rac2	dock	1.1252303	
Rab11	Arf79F	0.8486806	True
WASp	Arpc1	1.1071073	
WASp	dock	0.7201811	
hbs	dock	0.7214822	True
hbs	kirre	0.6457133	True
hbs	rst	0.6464098	True
hbs	sns	0.653712	
Rho1	sqh	0.9484353000000001	True
rst	dock	0.8266118	
rst	kirre	0.9310917	
rst	sns	0.5764158	True
sns	dock	0.7214822	
sns	kirre	0.6613919	
siz	Arf51F	0.8557636999999999	True
siz	dock	1.1717938	
kirre	dock	0.7660425000000001	
Arf51F	sls	1.1717938	True
alpha-Spec	beta-Spec	0.5371136999999999	True
wbl	Arpc1	1.1717938	True
Arpc1	Pak	1.1252303	
dock	Pak	0.567334	True
