protein1	protein2	in_solution	cost
wbl	Arpc1	True	1.1717938
wbl	pip	True	0.6412891
kirre	dock		0.7660425000000001
kirre	drk		1.1252303
kirre	hbs	True	0.6457133
kirre	rols	True	0.6620813
kirre	rst		0.9310917
kirre	sns		0.6613919
siz	Arf51F	True	0.8557636999999999
siz	dock		1.1717938
sls	Arf51F	True	1.1717938
sls	rols	True	1.0546616000000002
drk	Arp3	True	0.9785927
drk	Ced-12		1.1252303
drk	Crk	True	0.6936151999999999
drk	Hem		1.1252303
drk	Pak		1.0952826
drk	Rok		0.9785927
drk	SCAR		1.1252303
drk	WASp		1.0714511
drk	beta-Spec		1.1252303
drk	dock		0.7172736
drk	mbc		1.0750392
drk	rst		1.1252303
SCAR	Crk		1.1252303
SCAR	Hem	True	0.7063527
SCAR	Rac1		1.1252303
SCAR	Rac2		1.1252303
SCAR	WASp	True	0.7011461999999999
SCAR	dock		0.7358376
SCAR	mbc		1.1252303
dock	Crk		1.0952826
dock	Hem		1.0952826
dock	Pak	True	0.567334
dock	Rac1		1.1252303
dock	Rac2		1.1252303
dock	Vrp1	True	0.7738670999999999
dock	WASp		0.7201811
dock	hbs	True	0.7214822
dock	mbc		1.0952826
dock	rst		0.8266118
dock	sns		0.7214822
Crk	Ced-12		1.1476479
Crk	Vrp1		0.9348131
Crk	WASp		0.8326261999999999
Crk	alpha-Spec		1.1717938
Crk	blow	True	0.8278468000000001
Crk	mbc	True	0.5652607
Crk	sns		0.9348131
Arp3	Arpc1	True	0.7657423000000001
Arp3	WASp		1.140227
Rac2	Arf79F		1.1717938
Rac2	Ced-12		1.1252303
Rac2	Hem		1.0952826
Rac2	Pak		0.6974895999999999
Rac2	Pak3		0.9348131
Rac2	Rab11		1.1717938
Rac2	Rac1	True	0.599155
Rac2	WASp		1.0952826
Rac2	dia	True	1.1252303
Rac2	mbc		1.0727806
Vrp1	WASp		0.7966754
Vrp1	blow		0.9348131
hbs	rst	True	0.6464098
hbs	sns		0.653712
beta-Spec	alpha-Spec	True	0.5371136999999999
rst	sns	True	0.5764158
Rho1	Rok	True	0.5655272
Rho1	dia		1.1252303
Rho1	sqh	True	0.9484353000000001
Pak	Arpc1		1.1252303
Pak	Rac1	True	0.5576127
Pak	mbc		1.1252303
blow	rols		0.9670238999999999
Rac1	Ced-12		1.1252303
Rac1	Hem		1.0952826
Rac1	Pak3	True	0.6315214
Rac1	Rok	True	0.7949651
Rac1	WASp	True	0.6860725999999999
Rac1	Whamy	True	1.060865
Rac1	alpha-Spec		1.1717938
Rac1	dia		1.1252303
Rac1	mbc		0.8945827
WASp	Arpc1		1.1071073
WASp	Hem		1.060865
WASp	Whamy		1.060865
Ced-12	mbc	True	0.7125587
rols	alpha-Spec	True	1.1252303
rols	mbc	True	0.6693754
Rab11	Arf79F	True	0.8486806
Hem	Arf79F	True	0.9348131
