protein1	protein2	in_solution	cost
Arp3	Arpc1	True	0.7657423000000001
Arp3	WASp		1.140227
Arp3	drk	True	0.9785927
Arpc1	Pak		1.1252303
Arpc1	WASp		1.1071073
Arpc1	wbl	True	1.1717938
pip	wbl	True	0.6412891
Crk	Ced-12		1.1476479
Crk	SCAR		1.1252303
Crk	Vrp1		0.9348131
Crk	WASp		0.8326261999999999
Crk	alpha-Spec		1.1717938
Crk	blow	True	0.8278468000000001
Crk	dock		1.0952826
Crk	drk	True	0.6936151999999999
Crk	mbc	True	0.5652607
Crk	sns		0.9348131
Arf79F	Hem	True	0.9348131
Arf79F	Rab11	True	0.8486806
Arf79F	Rac2		1.1717938
Rab11	Rac2		1.1717938
Arf51F	siz	True	0.8557636999999999
Arf51F	sls	True	1.1717938
Rac1	Ced-12		1.1252303
Rac1	Hem		1.0952826
Rac1	Pak	True	0.5576127
Rac1	Pak3	True	0.6315214
Rac1	Rac2	True	0.599155
Rac1	Rok	True	0.7949651
Rac1	SCAR		1.1252303
Rac1	WASp	True	0.6860725999999999
Rac1	Whamy	True	1.060865
Rac1	alpha-Spec		1.1717938
Rac1	dia		1.1252303
Rac1	dock		1.1252303
Rac1	mbc		0.8945827
beta-Spec	alpha-Spec	True	0.5371136999999999
beta-Spec	drk		1.1252303
Pak3	Rac2		0.9348131
sls	rols	True	1.0546616000000002
dock	Hem		1.0952826
dock	Pak	True	0.567334
dock	Rac2		1.1252303
dock	SCAR		0.7358376
dock	Vrp1	True	0.7738670999999999
dock	WASp		0.7201811
dock	drk		0.7172736
dock	hbs	True	0.7214822
dock	kirre		0.7660425000000001
dock	mbc		1.0952826
dock	rst		0.8266118
dock	siz		1.1717938
dock	sns		0.7214822
alpha-Spec	rols	True	1.1252303
blow	Vrp1		0.9348131
blow	rols		0.9670238999999999
kirre	drk		1.1252303
kirre	hbs	True	0.6457133
kirre	rols	True	0.6620813
kirre	rst		0.9310917
kirre	sns		0.6613919
Rok	Rho1	True	0.5655272
Rok	drk		0.9785927
SCAR	Hem	True	0.7063527
SCAR	Rac2		1.1252303
SCAR	WASp	True	0.7011461999999999
SCAR	drk		1.1252303
SCAR	mbc		1.1252303
sqh	Rho1	True	0.9484353000000001
Whamy	WASp		1.060865
Hem	Rac2		1.0952826
Hem	WASp		1.060865
Hem	drk		1.1252303
hbs	rst	True	0.6464098
hbs	sns		0.653712
rst	drk		1.1252303
rst	sns	True	0.5764158
dia	Rac2	True	1.1252303
dia	Rho1		1.1252303
WASp	Rac2		1.0952826
WASp	Vrp1		0.7966754
WASp	drk		1.0714511
drk	Ced-12		1.1252303
drk	Pak		1.0952826
drk	mbc		1.0750392
Rac2	Ced-12		1.1252303
Rac2	Pak		0.6974895999999999
Rac2	mbc		1.0727806
Ced-12	mbc	True	0.7125587
mbc	Pak		1.1252303
mbc	rols	True	0.6693754
