protein1	protein2	cost	in_solution
sqh	Rho1	0.9484353000000001	True
pip	ps	0.9540791	True
SCAR	Crk	1.1252303	
SCAR	Hem	0.7063527	True
SCAR	Rac1	1.1252303	
SCAR	Rac2	1.1252303	
SCAR	WASp	0.7011461999999999	True
SCAR	dock	0.7358376	
SCAR	drk	1.1252303	
SCAR	mbc	1.1252303	
siz	Arf51F	0.8557636999999999	True
siz	dock	1.1717938	
Whamy	Rac1	1.060865	True
Whamy	WASp	1.060865	
Whamy	ps	0.9540791	True
mbc	Ced-12	0.7125587	True
mbc	Crk	0.5652607	True
mbc	Pak	1.1252303	
mbc	Rac1	0.8945827	
mbc	Rac2	1.0727806	
mbc	dock	1.0952826	
mbc	drk	1.0750392	
mbc	ps	0.9540791	
mbc	rols	0.6693754	True
Hem	Arf79F	0.9348131	True
Hem	Rac1	1.0952826	
Hem	Rac2	1.0952826	
Hem	WASp	1.060865	
Hem	dock	1.0952826	
Hem	drk	1.1252303	
blow	Crk	0.8278468000000001	True
blow	Vrp1	0.9348131	
blow	rols	0.9670238999999999	
Rho1	Rok	0.5655272	True
Rho1	dia	1.1252303	
WASp	Arp3	1.140227	True
WASp	Arpc1	1.1071073	
WASp	Crk	0.8326261999999999	
WASp	Rac1	0.6860725999999999	
WASp	Rac2	1.0952826	
WASp	Vrp1	0.7966754	True
WASp	dock	0.7201811	
WASp	drk	1.0714511	
hbs	dock	0.7214822	True
hbs	kirre	0.6457133	True
hbs	rst	0.6464098	True
hbs	sns	0.653712	
Rok	Rac1	0.7949651	True
Rok	drk	0.9785927	True
sns	Crk	0.9348131	
sns	dock	0.7214822	
sns	kirre	0.6613919	
sns	rst	0.5764158	True
rols	alpha-Spec	1.1252303	True
rols	kirre	0.6620813	True
rols	sls	1.0546616000000002	True
Rab11	Arf79F	0.8486806	
Rab11	Rac2	1.1717938	True
Arpc1	Arp3	0.7657423000000001	True
Arpc1	Pak	1.1252303	
dia	Rac1	1.1252303	
dia	Rac2	1.1252303	True
Pak	Rac1	0.5576127	True
Pak	Rac2	0.6974895999999999	
Pak	dock	0.567334	True
Pak	drk	1.0952826	
Arf79F	Rac2	1.1717938	
Pak3	Rac1	0.6315214	True
Pak3	Rac2	0.9348131	
Arf51F	sls	1.1717938	True
Rac1	Ced-12	1.1252303	
Rac1	Rac2	0.599155	True
Rac1	alpha-Spec	1.1717938	
Rac1	dock	1.1252303	
Vrp1	Crk	0.9348131	
Vrp1	dock	0.7738670999999999	True
Arp3	drk	0.9785927	
beta-Spec	alpha-Spec	0.5371136999999999	True
beta-Spec	drk	1.1252303	
Crk	Ced-12	1.1476479	
Crk	alpha-Spec	1.1717938	
Crk	dock	1.0952826	
Crk	drk	0.6936151999999999	
kirre	dock	0.7660425000000001	
kirre	drk	1.1252303	
kirre	rst	0.9310917	
drk	Ced-12	1.1252303	
drk	dock	0.7172736	
drk	rst	1.1252303	
Ced-12	Rac2	1.1252303	
rst	dock	0.8266118	
dock	Rac2	1.1252303	
