protein1	protein2	in_solution	cost
Rac2	Arf79F		1.1717938
Rac2	Ced-12		1.1252303
Rac2	Hem		1.0952826
Rac2	Pak		0.6974895999999999
Rac2	Pak3		0.9348131
Rac2	Rab11	True	1.1717938
Rac2	Rac1	True	0.599155
Rac2	SCAR		1.1252303
Rac2	WASp		1.0952826
Rac2	dia	True	1.1252303
Rac2	dock		1.1252303
Rac2	mbc		1.0727806
beta-Spec	alpha-Spec	True	0.5371136999999999
beta-Spec	drk		1.1252303
sns	Crk		0.9348131
sns	dock		0.7214822
sns	hbs		0.653712
sns	kirre		0.6613919
sns	rst	True	0.5764158
drk	Arp3		0.9785927
drk	Ced-12		1.1252303
drk	Crk		0.6936151999999999
drk	Hem		1.1252303
drk	Pak		1.0952826
drk	Rok	True	0.9785927
drk	SCAR		1.1252303
drk	WASp		1.0714511
drk	dock		0.7172736
drk	kirre		1.1252303
drk	mbc		1.0750392
drk	rst		1.1252303
Arf79F	Hem	True	0.9348131
Arf79F	Rab11		0.8486806
Crk	Ced-12		1.1476479
Crk	SCAR		1.1252303
Crk	Vrp1		0.9348131
Crk	WASp		0.8326261999999999
Crk	alpha-Spec		1.1717938
Crk	blow	True	0.8278468000000001
Crk	dock		1.0952826
Crk	mbc	True	0.5652607
hbs	dock	True	0.7214822
hbs	kirre	True	0.6457133
hbs	rst	True	0.6464098
WASp	Arp3	True	1.140227
WASp	Arpc1		1.1071073
WASp	Hem		1.060865
WASp	Rac1		0.6860725999999999
WASp	SCAR	True	0.7011461999999999
WASp	Vrp1	True	0.7966754
WASp	Whamy		1.060865
WASp	dock		0.7201811
Arp3	Arpc1	True	0.7657423000000001
Rac1	Ced-12		1.1252303
Rac1	Hem		1.0952826
Rac1	Pak	True	0.5576127
Rac1	Pak3	True	0.6315214
Rac1	Rok	True	0.7949651
Rac1	SCAR		1.1252303
Rac1	Whamy	True	1.060865
Rac1	alpha-Spec		1.1717938
Rac1	dia		1.1252303
Rac1	dock		1.1252303
Rac1	mbc		0.8945827
rols	alpha-Spec	True	1.1252303
rols	blow		0.9670238999999999
rols	kirre	True	0.6620813
rols	mbc	True	0.6693754
rols	sls	True	1.0546616000000002
SCAR	Hem	True	0.7063527
SCAR	dock		0.7358376
SCAR	mbc		1.1252303
Ced-12	mbc	True	0.7125587
blow	Vrp1		0.9348131
dia	Rho1		1.1252303
siz	Arf51F	True	0.8557636999999999
siz	dock		1.1717938
kirre	dock		0.7660425000000001
kirre	rst		0.9310917
Rok	Rho1	True	0.5655272
dock	Hem		1.0952826
dock	Pak	True	0.567334
dock	Vrp1	True	0.7738670999999999
dock	mbc		1.0952826
dock	rst		0.8266118
ps	Whamy	True	0.9540791
ps	mbc		0.9540791
ps	pip	True	0.9540791
Pak	Arpc1		1.1252303
Pak	mbc		1.1252303
sls	Arf51F	True	1.1717938
Rho1	sqh	True	0.9484353000000001
