protein1	protein2	in_solution	cost
Ced-12	Crk		1.1476479
Ced-12	Rac1		1.1252303
Ced-12	Rac2		1.1252303
Ced-12	drk		1.1252303
Ced-12	mbc	True	0.7125587
siz	Arf51F	True	0.8557636999999999
siz	dock		1.1717938
Rac1	Hem		1.0952826
Rac1	Pak	True	0.5576127
Rac1	Pak3	True	0.6315214
Rac1	Rac2	True	0.599155
Rac1	Rok	True	0.7949651
Rac1	SCAR		1.1252303
Rac1	WASp	True	0.6860725999999999
Rac1	Whamy	True	1.060865
Rac1	alpha-Spec		1.1717938
Rac1	dia		1.1252303
Rac1	dock		1.1252303
Rac1	mbc		0.8945827
Hem	Arf79F	True	0.9348131
Hem	Rac2		1.0952826
Hem	SCAR	True	0.7063527
Hem	WASp		1.060865
Hem	dock		1.0952826
Hem	drk		1.1252303
WASp	Arp3		1.140227
WASp	Arpc1		1.1071073
WASp	Crk		0.8326261999999999
WASp	Rac2		1.0952826
WASp	SCAR	True	0.7011461999999999
WASp	Vrp1		0.7966754
WASp	Whamy		1.060865
WASp	dock		0.7201811
WASp	drk		1.0714511
kirre	dock		0.7660425000000001
kirre	drk		1.1252303
kirre	hbs	True	0.6457133
kirre	rols	True	0.6620813
kirre	rst		0.9310917
kirre	sns		0.6613919
Arp3	Arpc1	True	0.7657423000000001
Arp3	drk	True	0.9785927
sls	Arf51F	True	1.1717938
sls	rols	True	1.0546616000000002
rols	alpha-Spec	True	1.1252303
rols	blow		0.9670238999999999
rols	mbc	True	0.6693754
SCAR	Crk		1.1252303
SCAR	Rac2		1.1252303
SCAR	dock		0.7358376
SCAR	drk		1.1252303
SCAR	mbc		1.1252303
Vrp1	Crk		0.9348131
Vrp1	blow		0.9348131
Vrp1	dock	True	0.7738670999999999
beta-Spec	alpha-Spec	True	0.5371136999999999
beta-Spec	drk		1.1252303
drk	Crk	True	0.6936151999999999
drk	Pak		1.0952826
drk	Rok		0.9785927
drk	dock	True	0.7172736
drk	mbc		1.0750392
drk	rst		1.1252303
pip	wbl	True	0.6412891
Rac2	Arf79F		1.1717938
Rac2	Pak		0.6974895999999999
Rac2	Pak3		0.9348131
Rac2	Rab11		1.1717938
Rac2	dia	True	1.1252303
Rac2	dock		1.1252303
Rac2	mbc		1.0727806
Crk	alpha-Spec		1.1717938
Crk	blow	True	0.8278468000000001
Crk	dock		1.0952826
Crk	mbc	True	0.5652607
Crk	sns		0.9348131
Rok	Rho1	True	0.5655272
Arf79F	Rab11	True	0.8486806
rst	dock		0.8266118
rst	hbs	True	0.6464098
rst	sns	True	0.5764158
Arpc1	Pak		1.1252303
Arpc1	wbl	True	1.1717938
sns	dock		0.7214822
sns	hbs		0.653712
sqh	Rho1	True	0.9484353000000001
dia	Rho1		1.1252303
mbc	Pak		1.1252303
mbc	dock		1.0952826
dock	Pak	True	0.567334
dock	hbs		0.7214822
