protein1	protein2	in_solution	cost
rols	alpha-Spec	True	1.1252303
rols	blow		0.9670238999999999
rols	kirre	True	0.6620813
rols	mbc	True	0.6693754
rols	sls	True	1.0546616000000002
Rac2	Arf79F		1.1717938
Rac2	Ced-12		1.1252303
Rac2	Hem		1.0952826
Rac2	Pak		0.6974895999999999
Rac2	Pak3		0.9348131
Rac2	Rab11		1.1717938
Rac2	Rac1	True	0.599155
Rac2	SCAR		1.1252303
Rac2	WASp		1.0952826
Rac2	dia	True	1.1252303
Rac2	dock		1.1252303
Rac2	mbc		1.0727806
Arf51F	siz	True	0.8557636999999999
Arf51F	sls	True	1.1717938
beta-Spec	alpha-Spec	True	0.5371136999999999
beta-Spec	drk		1.1252303
sns	Crk		0.9348131
sns	dock		0.7214822
sns	hbs		0.653712
sns	kirre		0.6613919
sns	rst	True	0.5764158
drk	Arp3	True	0.9785927
drk	Ced-12		1.1252303
drk	Crk	True	0.6936151999999999
drk	Hem		1.1252303
drk	Pak		1.0952826
drk	Rok		0.9785927
drk	SCAR		1.1252303
drk	WASp		1.0714511
drk	dock		0.7172736
drk	kirre		1.1252303
drk	mbc		1.0750392
drk	rst		1.1252303
Rac1	Ced-12		1.1252303
Rac1	Hem		1.0952826
Rac1	Pak	True	0.5576127
Rac1	Pak3	True	0.6315214
Rac1	Rok	True	0.7949651
Rac1	SCAR		1.1252303
Rac1	WASp	True	0.6860725999999999
Rac1	Whamy	True	1.060865
Rac1	alpha-Spec		1.1717938
Rac1	dia		1.1252303
Rac1	dock		1.1252303
Rac1	mbc		0.8945827
Ced-12	Crk		1.1476479
Ced-12	mbc	True	0.7125587
Rab11	Arf79F	True	0.8486806
Rok	Rho1	True	0.5655272
Arp3	Arpc1	True	0.7657423000000001
Arp3	WASp		1.140227
pip	wbl	True	0.6412891
Crk	SCAR		1.1252303
Crk	Vrp1		0.9348131
Crk	WASp		0.8326261999999999
Crk	alpha-Spec		1.1717938
Crk	blow	True	0.8278468000000001
Crk	dock		1.0952826
Crk	mbc	True	0.5652607
Pak	Arpc1		1.1252303
Pak	dock	True	0.567334
Pak	mbc		1.1252303
wbl	Arpc1	True	1.1717938
Arf79F	Hem	True	0.9348131
Hem	SCAR	True	0.7063527
Hem	WASp		1.060865
Hem	dock		1.0952826
mbc	SCAR		1.1252303
mbc	dock		1.0952826
dia	Rho1		1.1252303
Whamy	WASp		1.060865
siz	dock		1.1717938
sqh	Rho1	True	0.9484353000000001
dock	SCAR		0.7358376
dock	Vrp1	True	0.7738670999999999
dock	WASp		0.7201811
dock	hbs	True	0.7214822
dock	kirre		0.7660425000000001
dock	rst		0.8266118
WASp	Arpc1		1.1071073
WASp	SCAR	True	0.7011461999999999
WASp	Vrp1		0.7966754
rst	hbs	True	0.6464098
rst	kirre		0.9310917
blow	Vrp1		0.9348131
kirre	hbs	True	0.6457133
