protein1	protein2	cost	in_solution
pip	wbl	0.6412891	True
SCAR	Crk	1.1252303	
SCAR	Hem	0.7063527	True
SCAR	Rac1	1.1252303	
SCAR	Rac2	1.1252303	
SCAR	WASp	0.7011461999999999	True
SCAR	dock	0.7358376	
SCAR	drk	1.1252303	
SCAR	mbc	1.1252303	
Arf51F	siz	0.8557636999999999	True
Arf51F	sls	1.1717938	True
WASp	Arp3	1.140227	
WASp	Arpc1	1.1071073	
WASp	Crk	0.8326261999999999	
WASp	Hem	1.060865	
WASp	Rac1	0.6860725999999999	True
WASp	Rac2	1.0952826	
WASp	Vrp1	0.7966754	
WASp	Whamy	1.060865	
WASp	dock	0.7201811	
WASp	drk	1.0714511	
drk	Arp3	0.9785927	True
drk	Ced-12	1.1252303	
drk	Crk	0.6936151999999999	True
drk	Hem	1.1252303	
drk	Pak	1.0952826	
drk	Rok	0.9785927	
drk	beta-Spec	1.1252303	
drk	dock	0.7172736	True
drk	kirre	1.1252303	
drk	mbc	1.0750392	
drk	rst	1.1252303	
Pak	Arpc1	1.1252303	
Pak	Rac1	0.5576127	True
Pak	Rac2	0.6974895999999999	
Pak	dock	0.567334	True
Pak	mbc	1.1252303	
Rho1	Rok	0.5655272	True
Rho1	dia	1.1252303	
Rho1	sqh	0.9484353000000001	True
rols	alpha-Spec	1.1252303	True
rols	blow	0.9670238999999999	
rols	kirre	0.6620813	True
rols	mbc	0.6693754	True
rols	sls	1.0546616000000002	True
beta-Spec	alpha-Spec	0.5371136999999999	True
dock	Crk	1.0952826	
dock	Hem	1.0952826	
dock	Rac1	1.1252303	
dock	Rac2	1.1252303	
dock	Vrp1	0.7738670999999999	True
dock	hbs	0.7214822	
dock	kirre	0.7660425000000001	
dock	mbc	1.0952826	
dock	rst	0.8266118	
dock	siz	1.1717938	
dock	sns	0.7214822	
mbc	Ced-12	0.7125587	True
mbc	Crk	0.5652607	True
mbc	Rac1	0.8945827	
mbc	Rac2	1.0727806	
Rok	Rac1	0.7949651	True
Arpc1	Arp3	0.7657423000000001	True
Arpc1	wbl	1.1717938	True
kirre	hbs	0.6457133	True
kirre	rst	0.9310917	
kirre	sns	0.6613919	
Hem	Arf79F	0.9348131	True
Hem	Rac1	1.0952826	
Hem	Rac2	1.0952826	
sns	Crk	0.9348131	
sns	hbs	0.653712	
sns	rst	0.5764158	True
Crk	Ced-12	1.1476479	
Crk	Vrp1	0.9348131	
Crk	alpha-Spec	1.1717938	
Crk	blow	0.8278468000000001	True
Whamy	Rac1	1.060865	True
Vrp1	blow	0.9348131	
Rac1	Ced-12	1.1252303	
Rac1	Pak3	0.6315214	True
Rac1	Rac2	0.599155	True
Rac1	alpha-Spec	1.1717938	
Rac1	dia	1.1252303	
Pak3	Rac2	0.9348131	
Rab11	Arf79F	0.8486806	True
Rab11	Rac2	1.1717938	
hbs	rst	0.6464098	True
Rac2	Arf79F	1.1717938	
Rac2	Ced-12	1.1252303	
Rac2	dia	1.1252303	True
