#node	degree	clustering	betweenness_centrality
pip	1	0	0.0
wbl	2	0	0.058823529411764705
SCAR	2	0	0.1657754010695187
Hem	2	0	0.1140819964349376
WASp	2	0	0.21390374331550802
Arf51F	2	0	0.058823529411764705
siz	1	0	0.0
sls	2	0	0.1140819964349376
Rac1	6	0	0.5632798573975044
drk	3	0	0.6131907308377896
Arp3	2	0	0.1657754010695187
Crk	3	0	0.5080213903743315
dock	3	0	0.5329768270944741
Pak	2	0	0.4866310160427807
Rho1	2	0	0.058823529411764705
Rok	2	0	0.1140819964349376
sqh	1	0	0.0
rols	4	0	0.4474153297682709
alpha-Spec	2	0	0.058823529411764705
kirre	2	0	0.1657754010695187
mbc	3	0	0.4688057040998217
beta-Spec	1	0	0.0
Vrp1	1	0	0.0
Ced-12	1	0	0.0
Arpc1	2	0	0.1140819964349376
hbs	2	0	0.1140819964349376
Arf79F	2	0	0.058823529411764705
sns	1	0	0.0
rst	2	0	0.058823529411764705
blow	1	0	0.0
Whamy	1	0	0.0
Pak3	1	0	0.0
Rac2	2	0	0.058823529411764705
Rab11	1	0	0.0
dia	1	0	0.0
