protein1	protein2	cost	in_solution
Whamy	Rac1	1.060865	True
Whamy	WASp	1.060865	
Rho1	Rok	0.5655272	True
Rho1	dia	1.1252303	
Rho1	sqh	0.9484353000000001	True
SCAR	Crk	1.1252303	
SCAR	Hem	0.7063527	True
SCAR	Rac1	1.1252303	
SCAR	Rac2	1.1252303	
SCAR	WASp	0.7011461999999999	True
SCAR	dock	0.7358376	
SCAR	drk	1.1252303	
SCAR	mbc	1.1252303	
pip	wbl	0.6412891	True
kirre	dock	0.7660425000000001	
kirre	drk	1.1252303	
kirre	hbs	0.6457133	True
kirre	rols	0.6620813	True
kirre	rst	0.9310917	
kirre	sns	0.6613919	
beta-Spec	alpha-Spec	0.5371136999999999	True
beta-Spec	drk	1.1252303	
Arp3	Arpc1	0.7657423000000001	True
Arp3	WASp	1.140227	
Arp3	drk	0.9785927	True
blow	Crk	0.8278468000000001	True
blow	Vrp1	0.9348131	
blow	rols	0.9670238999999999	
alpha-Spec	Crk	1.1717938	
alpha-Spec	Rac1	1.1717938	
alpha-Spec	rols	1.1252303	True
Arf51F	siz	0.8557636999999999	True
Arf51F	sls	1.1717938	True
siz	dock	1.1717938	
Hem	Arf79F	0.9348131	True
Hem	Rac1	1.0952826	
Hem	Rac2	1.0952826	
Hem	WASp	1.060865	
Hem	dock	1.0952826	
Hem	drk	1.1252303	
rols	mbc	0.6693754	True
rols	sls	1.0546616000000002	True
dia	Rac1	1.1252303	
dia	Rac2	1.1252303	True
Pak3	Rac1	0.6315214	True
Pak3	Rac2	0.9348131	
Crk	Ced-12	1.1476479	
Crk	Vrp1	0.9348131	
Crk	WASp	0.8326261999999999	
Crk	dock	1.0952826	
Crk	drk	0.6936151999999999	True
Crk	mbc	0.5652607	True
Crk	sns	0.9348131	
rst	dock	0.8266118	
rst	drk	1.1252303	
rst	hbs	0.6464098	True
rst	sns	0.5764158	True
Vrp1	WASp	0.7966754	
Vrp1	dock	0.7738670999999999	True
Arpc1	Pak	1.1252303	
Arpc1	WASp	1.1071073	
Arpc1	wbl	1.1717938	True
drk	Ced-12	1.1252303	
drk	Pak	1.0952826	
drk	Rok	0.9785927	
drk	WASp	1.0714511	
drk	dock	0.7172736	
drk	mbc	1.0750392	
Arf79F	Rab11	0.8486806	True
Arf79F	Rac2	1.1717938	
dock	Pak	0.567334	True
dock	Rac1	1.1252303	
dock	Rac2	1.1252303	
dock	WASp	0.7201811	
dock	hbs	0.7214822	True
dock	mbc	1.0952826	
dock	sns	0.7214822	
Rac1	Ced-12	1.1252303	
Rac1	Pak	0.5576127	True
Rac1	Rac2	0.599155	True
Rac1	Rok	0.7949651	True
Rac1	WASp	0.6860725999999999	True
Rac1	mbc	0.8945827	
Pak	Rac2	0.6974895999999999	
Pak	mbc	1.1252303	
mbc	Ced-12	0.7125587	True
mbc	Rac2	1.0727806	
Rac2	Ced-12	1.1252303	
Rac2	Rab11	1.1717938	
Rac2	WASp	1.0952826	
hbs	sns	0.653712	
