#node	degree	clustering	betweenness_centrality
pip	1	0	0.0
wbl	2	0	0.058823529411764705
Rho1	2	0	0.058823529411764705
Rok	2	0	0.1140819964349376
sqh	1	0	0.0
SCAR	2	0	0.1657754010695187
Hem	2	0	0.1140819964349376
WASp	2	0	0.21390374331550802
Whamy	1	0	0.0
Rac1	6	0	0.5632798573975044
Arpc1	2	0	0.1140819964349376
Arp3	2	0	0.1657754010695187
drk	3	0	0.6131907308377896
sns	1	0	0.0
rst	2	0	0.058823529411764705
sls	2	0	0.1140819964349376
Arf51F	2	0	0.058823529411764705
rols	4	0	0.4474153297682709
dock	3	0	0.5329768270944741
Pak	2	0	0.4866310160427807
Vrp1	1	0	0.0
Arf79F	2	0	0.058823529411764705
Rab11	1	0	0.0
alpha-Spec	2	0	0.058823529411764705
beta-Spec	1	0	0.0
kirre	2	0	0.1657754010695187
mbc	3	0	0.4688057040998217
Rac2	2	0	0.058823529411764705
dia	1	0	0.0
hbs	2	0	0.1140819964349376
Ced-12	1	0	0.0
blow	1	0	0.0
Crk	3	0	0.5080213903743315
Pak3	1	0	0.0
siz	1	0	0.0
