protein1	protein2	cost	in_solution
Whamy	Rac1	1.060865	True
Whamy	WASp	1.060865	
Rok	Rac1	0.7949651	True
Rok	Rho1	0.5655272	True
Rok	drk	0.9785927	
hbs	dock	0.7214822	True
hbs	kirre	0.6457133	True
hbs	rst	0.6464098	True
hbs	sns	0.653712	
Arf51F	siz	0.8557636999999999	True
Arf51F	sls	1.1717938	True
alpha-Spec	Crk	1.1717938	
alpha-Spec	Rac1	1.1717938	
alpha-Spec	beta-Spec	0.5371136999999999	True
alpha-Spec	rols	1.1252303	True
dia	Rac1	1.1252303	
dia	Rac2	1.1252303	True
dia	Rho1	1.1252303	
SCAR	Crk	1.1252303	
SCAR	Hem	0.7063527	True
SCAR	Rac1	1.1252303	
SCAR	Rac2	1.1252303	
SCAR	WASp	0.7011461999999999	True
SCAR	dock	0.7358376	
SCAR	drk	1.1252303	
SCAR	mbc	1.1252303	
siz	dock	1.1717938	
kirre	dock	0.7660425000000001	
kirre	drk	1.1252303	
kirre	rols	0.6620813	True
kirre	rst	0.9310917	
kirre	sns	0.6613919	
Rho1	sqh	0.9484353000000001	True
rols	blow	0.9670238999999999	
rols	mbc	0.6693754	True
rols	sls	1.0546616000000002	True
Arp3	Arpc1	0.7657423000000001	True
Arp3	WASp	1.140227	
Arp3	drk	0.9785927	True
mbc	Ced-12	0.7125587	True
mbc	Crk	0.5652607	True
mbc	Pak	1.1252303	
mbc	Rac1	0.8945827	
mbc	Rac2	1.0727806	
mbc	dock	1.0952826	
mbc	drk	1.0750392	
Arpc1	Pak	1.1252303	
Arpc1	WASp	1.1071073	
Arpc1	wbl	1.1717938	True
dock	Crk	1.0952826	
dock	Hem	1.0952826	
dock	Pak	0.567334	True
dock	Rac1	1.1252303	
dock	Rac2	1.1252303	
dock	Vrp1	0.7738670999999999	True
dock	WASp	0.7201811	
dock	drk	0.7172736	
dock	rst	0.8266118	
dock	sns	0.7214822	
Ced-12	Crk	1.1476479	
Ced-12	Rac1	1.1252303	
Ced-12	Rac2	1.1252303	
Ced-12	drk	1.1252303	
drk	Crk	0.6936151999999999	True
drk	Hem	1.1252303	
drk	Pak	1.0952826	
drk	WASp	1.0714511	
drk	beta-Spec	1.1252303	
drk	rst	1.1252303	
blow	Crk	0.8278468000000001	True
blow	Vrp1	0.9348131	
Pak	Rac1	0.5576127	True
Pak	Rac2	0.6974895999999999	
Vrp1	Crk	0.9348131	
Vrp1	WASp	0.7966754	
wbl	pip	0.6412891	True
WASp	Crk	0.8326261999999999	
WASp	Hem	1.060865	
WASp	Rac1	0.6860725999999999	True
WASp	Rac2	1.0952826	
Pak3	Rac1	0.6315214	True
Pak3	Rac2	0.9348131	
Rac2	Arf79F	1.1717938	
Rac2	Hem	1.0952826	
Rac2	Rab11	1.1717938	
Rac2	Rac1	0.599155	True
Crk	sns	0.9348131	
Rab11	Arf79F	0.8486806	True
Arf79F	Hem	0.9348131	True
sns	rst	0.5764158	True
Rac1	Hem	1.0952826	
