protein1	protein2	cost	in_solution
dock	Crk	1.0952826	
dock	Hem	1.0952826	
dock	Pak	0.567334	True
dock	Rac1	1.1252303	
dock	Rac2	1.1252303	
dock	SCAR	0.7358376	
dock	Vrp1	0.7738670999999999	True
dock	WASp	0.7201811	
dock	drk	0.7172736	True
dock	hbs	0.7214822	
dock	kirre	0.7660425000000001	
dock	mbc	1.0952826	
dock	rst	0.8266118	
dock	siz	1.1717938	
dock	sns	0.7214822	
Ced-12	Crk	1.1476479	
Ced-12	Rac1	1.1252303	
Ced-12	Rac2	1.1252303	
Ced-12	drk	1.1252303	
Ced-12	mbc	0.7125587	True
siz	Arf51F	0.8557636999999999	True
sls	Arf51F	1.1717938	True
sls	rols	1.0546616000000002	True
Arp3	Arpc1	0.7657423000000001	True
Arp3	WASp	1.140227	
Arp3	drk	0.9785927	True
sqh	Rho1	0.9484353000000001	True
pip	wbl	0.6412891	True
Arpc1	Pak	1.1252303	
Arpc1	WASp	1.1071073	
Arpc1	wbl	1.1717938	True
Rok	Rac1	0.7949651	True
Rok	Rho1	0.5655272	True
Rok	drk	0.9785927	
sns	Crk	0.9348131	
sns	hbs	0.653712	
sns	kirre	0.6613919	
sns	rst	0.5764158	True
drk	Crk	0.6936151999999999	True
drk	Hem	1.1252303	
drk	Pak	1.0952826	
drk	SCAR	1.1252303	
drk	WASp	1.0714511	
drk	beta-Spec	1.1252303	
drk	kirre	1.1252303	
drk	mbc	1.0750392	
drk	rst	1.1252303	
Vrp1	Crk	0.9348131	
Vrp1	WASp	0.7966754	
Vrp1	blow	0.9348131	
blow	Crk	0.8278468000000001	True
blow	rols	0.9670238999999999	
Rac1	Hem	1.0952826	
Rac1	Pak	0.5576127	True
Rac1	Pak3	0.6315214	True
Rac1	Rac2	0.599155	True
Rac1	SCAR	1.1252303	
Rac1	WASp	0.6860725999999999	True
Rac1	Whamy	1.060865	True
Rac1	alpha-Spec	1.1717938	
Rac1	dia	1.1252303	
Rac1	mbc	0.8945827	
Rho1	dia	1.1252303	
kirre	hbs	0.6457133	True
kirre	rols	0.6620813	True
kirre	rst	0.9310917	
rst	hbs	0.6464098	True
Whamy	WASp	1.060865	
WASp	Crk	0.8326261999999999	
WASp	Hem	1.060865	
WASp	Rac2	1.0952826	
WASp	SCAR	0.7011461999999999	True
SCAR	Crk	1.1252303	
SCAR	Hem	0.7063527	True
SCAR	Rac2	1.1252303	
SCAR	mbc	1.1252303	
dia	Rac2	1.1252303	True
rols	alpha-Spec	1.1252303	True
rols	mbc	0.6693754	True
Rac2	Arf79F	1.1717938	
Rac2	Hem	1.0952826	
Rac2	Pak	0.6974895999999999	
Rac2	Pak3	0.9348131	
Rac2	Rab11	1.1717938	
Rac2	mbc	1.0727806	
Crk	alpha-Spec	1.1717938	
Crk	mbc	0.5652607	True
Hem	Arf79F	0.9348131	True
Rab11	Arf79F	0.8486806	True
alpha-Spec	beta-Spec	0.5371136999999999	True
Pak	mbc	1.1252303	
