#node	degree	clustering	betweenness_centrality
hbs	3	0	0.570409982174688
dock	3	0	0.5329768270944741
kirre	2	0	0.5080213903743315
rst	2	0	0.058823529411764705
sns	1	0	0.0
Arf51F	2	0	0.058823529411764705
siz	1	0	0.0
sls	2	0	0.1140819964349376
Hem	2	0	0.1140819964349376
Arf79F	2	0	0.058823529411764705
SCAR	2	0	0.1657754010695187
Arpc1	2	0	0.1140819964349376
Arp3	2	0	0.1657754010695187
wbl	2	0	0.058823529411764705
sqh	1	0	0.0
Rho1	2	0	0.058823529411764705
Vrp1	1	0	0.0
Pak	2	0	0.4866310160427807
Crk	3	0	0.3083778966131907
blow	1	0	0.0
drk	2	0	0.21390374331550802
mbc	3	0	0.38324420677361853
pip	1	0	0.0
Rab11	1	0	0.0
Rok	2	0	0.1140819964349376
Rac1	6	0	0.5632798573975044
Rac2	2	0	0.058823529411764705
dia	1	0	0.0
Ced-12	1	0	0.0
Whamy	1	0	0.0
rols	4	0	0.5900178253119429
alpha-Spec	2	0	0.058823529411764705
WASp	2	0	0.21390374331550802
beta-Spec	1	0	0.0
Pak3	1	0	0.0
