protein1	protein2	cost	in_solution
Ced-12	Crk	1.1476479	
Ced-12	Rac1	1.1252303	
Ced-12	Rac2	1.1252303	
Ced-12	drk	1.1252303	
Ced-12	mbc	0.7125587	True
mbc	Crk	0.5652607	True
mbc	Pak	1.1252303	
mbc	Rac1	0.8945827	
mbc	Rac2	1.0727806	
mbc	SCAR	1.1252303	
mbc	dock	1.0952826	
mbc	drk	1.0750392	
mbc	ps	0.9540791	
mbc	rols	0.6693754	True
beta-Spec	alpha-Spec	0.5371136999999999	True
beta-Spec	drk	1.1252303	
rst	dock	0.8266118	
rst	drk	1.1252303	
rst	hbs	0.6464098	True
rst	kirre	0.9310917	
rst	sns	0.5764158	True
Vrp1	Crk	0.9348131	
Vrp1	WASp	0.7966754	True
Vrp1	blow	0.9348131	
Vrp1	dock	0.7738670999999999	True
dia	Rac1	1.1252303	
dia	Rac2	1.1252303	True
dia	Rho1	1.1252303	
rols	alpha-Spec	1.1252303	True
rols	blow	0.9670238999999999	
rols	kirre	0.6620813	True
rols	sls	1.0546616000000002	True
Rho1	Rok	0.5655272	True
Rho1	sqh	0.9484353000000001	True
blow	Crk	0.8278468000000001	True
ps	Whamy	0.9540791	True
ps	pip	0.9540791	True
Pak3	Rac1	0.6315214	True
Pak3	Rac2	0.9348131	
Rac1	Hem	1.0952826	
Rac1	Pak	0.5576127	True
Rac1	Rac2	0.599155	True
Rac1	Rok	0.7949651	True
Rac1	SCAR	1.1252303	
Rac1	WASp	0.6860725999999999	
Rac1	Whamy	1.060865	True
Rac1	alpha-Spec	1.1717938	
Rac1	dock	1.1252303	
WASp	Arp3	1.140227	True
WASp	Arpc1	1.1071073	
WASp	Crk	0.8326261999999999	
WASp	Hem	1.060865	
WASp	Rac2	1.0952826	
WASp	SCAR	0.7011461999999999	True
WASp	Whamy	1.060865	
WASp	dock	0.7201811	
WASp	drk	1.0714511	
hbs	dock	0.7214822	True
hbs	kirre	0.6457133	True
hbs	sns	0.653712	
kirre	dock	0.7660425000000001	
kirre	drk	1.1252303	
kirre	sns	0.6613919	
SCAR	Crk	1.1252303	
SCAR	Hem	0.7063527	True
SCAR	Rac2	1.1252303	
SCAR	dock	0.7358376	
SCAR	drk	1.1252303	
Arpc1	Arp3	0.7657423000000001	True
Arpc1	Pak	1.1252303	
sns	Crk	0.9348131	
sns	dock	0.7214822	
alpha-Spec	Crk	1.1717938	
Rac2	Arf79F	1.1717938	
Rac2	Hem	1.0952826	
Rac2	Pak	0.6974895999999999	
Rac2	Rab11	1.1717938	True
Rac2	dock	1.1252303	
Pak	dock	0.567334	True
Pak	drk	1.0952826	
siz	Arf51F	0.8557636999999999	True
siz	dock	1.1717938	
Arf51F	sls	1.1717938	True
Rok	drk	0.9785927	True
drk	Arp3	0.9785927	
drk	Crk	0.6936151999999999	
drk	Hem	1.1252303	
drk	dock	0.7172736	
Crk	dock	1.0952826	
Arf79F	Hem	0.9348131	True
Arf79F	Rab11	0.8486806	
Hem	dock	1.0952826	
