protein1	protein2	in_solution	cost
beta-Spec	alpha-Spec	True	0.5371136999999999
beta-Spec	drk		1.1252303
rols	alpha-Spec	True	1.1252303
rols	blow		0.9670238999999999
rols	kirre	True	0.6620813
rols	mbc	True	0.6693754
rols	sls	True	1.0546616000000002
WASp	Arp3		1.140227
WASp	Arpc1		1.1071073
WASp	Crk		0.8326261999999999
WASp	Hem		1.060865
WASp	Rac1	True	0.6860725999999999
WASp	Rac2		1.0952826
WASp	SCAR	True	0.7011461999999999
WASp	Vrp1		0.7966754
WASp	Whamy		1.060865
WASp	dock		0.7201811
WASp	drk		1.0714511
mbc	Ced-12	True	0.7125587
mbc	Crk	True	0.5652607
mbc	Pak		1.1252303
mbc	Rac1		0.8945827
mbc	Rac2		1.0727806
mbc	SCAR		1.1252303
mbc	dock		1.0952826
mbc	drk		1.0750392
wbl	Arpc1	True	1.1717938
wbl	pip	True	0.6412891
sls	Arf51F	True	1.1717938
Arf79F	Hem	True	0.9348131
Arf79F	Rab11	True	0.8486806
Arf79F	Rac2		1.1717938
Rho1	Rok	True	0.5655272
Rho1	dia		1.1252303
Rho1	sqh	True	0.9484353000000001
drk	Arp3	True	0.9785927
drk	Ced-12		1.1252303
drk	Crk	True	0.6936151999999999
drk	Hem		1.1252303
drk	Pak		1.0952826
drk	Rok		0.9785927
drk	SCAR		1.1252303
drk	dock		0.7172736
drk	kirre		1.1252303
drk	rst		1.1252303
Pak3	Rac1	True	0.6315214
Pak3	Rac2		0.9348131
Hem	Rac1		1.0952826
Hem	Rac2		1.0952826
Hem	SCAR	True	0.7063527
Hem	dock		1.0952826
kirre	dock		0.7660425000000001
kirre	hbs	True	0.6457133
kirre	rst		0.9310917
kirre	sns		0.6613919
SCAR	Crk		1.1252303
SCAR	Rac1		1.1252303
SCAR	Rac2		1.1252303
SCAR	dock		0.7358376
dia	Rac1		1.1252303
dia	Rac2	True	1.1252303
blow	Crk	True	0.8278468000000001
blow	Vrp1		0.9348131
sns	Crk		0.9348131
sns	dock		0.7214822
sns	hbs		0.653712
sns	rst	True	0.5764158
alpha-Spec	Crk		1.1717938
alpha-Spec	Rac1		1.1717938
Rac2	Ced-12		1.1252303
Rac2	Pak		0.6974895999999999
Rac2	Rab11		1.1717938
Rac2	Rac1	True	0.599155
Rac2	dock		1.1252303
hbs	dock	True	0.7214822
hbs	rst	True	0.6464098
Ced-12	Crk		1.1476479
Ced-12	Rac1		1.1252303
Vrp1	Crk		0.9348131
Vrp1	dock	True	0.7738670999999999
Arf51F	siz	True	0.8557636999999999
siz	dock		1.1717938
Arp3	Arpc1	True	0.7657423000000001
Rac1	Pak	True	0.5576127
Rac1	Rok	True	0.7949651
Rac1	Whamy	True	1.060865
Rac1	dock		1.1252303
Crk	dock		1.0952826
rst	dock		0.8266118
dock	Pak	True	0.567334
Arpc1	Pak		1.1252303
