protein1	protein2	cost	in_solution
sls	Arf51F	1.1717938	True
sls	rols	1.0546616000000002	True
kirre	dock	0.7660425000000001	
kirre	drk	1.1252303	
kirre	hbs	0.6457133	True
kirre	rols	0.6620813	True
kirre	rst	0.9310917	
kirre	sns	0.6613919	
Crk	Ced-12	1.1476479	
Crk	SCAR	1.1252303	
Crk	Vrp1	0.9348131	
Crk	WASp	0.8326261999999999	
Crk	alpha-Spec	1.1717938	
Crk	blow	0.8278468000000001	True
Crk	dock	1.0952826	
Crk	drk	0.6936151999999999	True
Crk	mbc	0.5652607	True
Crk	sns	0.9348131	
alpha-Spec	Rac1	1.1717938	
alpha-Spec	beta-Spec	0.5371136999999999	True
alpha-Spec	rols	1.1252303	True
hbs	dock	0.7214822	True
hbs	rst	0.6464098	True
hbs	sns	0.653712	
Rac2	Arf79F	1.1717938	
Rac2	Ced-12	1.1252303	
Rac2	Hem	1.0952826	
Rac2	Pak	0.6974895999999999	
Rac2	Pak3	0.9348131	
Rac2	Rab11	1.1717938	
Rac2	Rac1	0.599155	True
Rac2	SCAR	1.1252303	
Rac2	WASp	1.0952826	
Rac2	dia	1.1252303	True
Rac2	dock	1.1252303	
Rac2	mbc	1.0727806	
wbl	Arpc1	1.1717938	True
wbl	pip	0.6412891	True
Arpc1	Arp3	0.7657423000000001	True
Arpc1	Pak	1.1252303	
Arpc1	WASp	1.1071073	
Vrp1	WASp	0.7966754	
Vrp1	blow	0.9348131	
Vrp1	dock	0.7738670999999999	True
SCAR	Hem	0.7063527	True
SCAR	Rac1	1.1252303	
SCAR	WASp	0.7011461999999999	True
SCAR	dock	0.7358376	
SCAR	drk	1.1252303	
SCAR	mbc	1.1252303	
dia	Rac1	1.1252303	
dia	Rho1	1.1252303	
Pak	Rac1	0.5576127	True
Pak	dock	0.567334	True
Pak	drk	1.0952826	
Pak	mbc	1.1252303	
Rok	Rac1	0.7949651	True
Rok	Rho1	0.5655272	True
Rok	drk	0.9785927	
Rac1	Ced-12	1.1252303	
Rac1	Hem	1.0952826	
Rac1	Pak3	0.6315214	True
Rac1	WASp	0.6860725999999999	True
Rac1	Whamy	1.060865	True
Rac1	dock	1.1252303	
Rac1	mbc	0.8945827	
Rho1	sqh	0.9484353000000001	True
Rab11	Arf79F	0.8486806	True
drk	Arp3	0.9785927	True
drk	Ced-12	1.1252303	
drk	Hem	1.1252303	
drk	WASp	1.0714511	
drk	beta-Spec	1.1252303	
drk	dock	0.7172736	
drk	mbc	1.0750392	
drk	rst	1.1252303	
dock	Hem	1.0952826	
dock	WASp	0.7201811	
dock	mbc	1.0952826	
dock	rst	0.8266118	
dock	siz	1.1717938	
dock	sns	0.7214822	
sns	rst	0.5764158	True
mbc	Ced-12	0.7125587	True
mbc	rols	0.6693754	True
Arp3	WASp	1.140227	
blow	rols	0.9670238999999999	
Arf79F	Hem	0.9348131	True
Hem	WASp	1.060865	
Whamy	WASp	1.060865	
Arf51F	siz	0.8557636999999999	True
