protein1	protein2	in_solution	cost
Vrp1	Crk		0.9348131
Vrp1	WASp		0.7966754
Vrp1	blow		0.9348131
Vrp1	dock	True	0.7738670999999999
Pak3	Rac1	True	0.6315214
Pak3	Rac2		0.9348131
Rok	Rac1	True	0.7949651
Rok	Rho1	True	0.5655272
Rok	drk		0.9785927
dia	Rac1		1.1252303
dia	Rac2	True	1.1252303
dia	Rho1		1.1252303
Rac1	Ced-12		1.1252303
Rac1	Hem		1.0952826
Rac1	Pak	True	0.5576127
Rac1	Rac2	True	0.599155
Rac1	SCAR		1.1252303
Rac1	WASp	True	0.6860725999999999
Rac1	Whamy	True	1.060865
Rac1	alpha-Spec		1.1717938
Rac1	dock		1.1252303
Rac1	mbc		0.8945827
rst	dock		0.8266118
rst	drk		1.1252303
rst	hbs	True	0.6464098
rst	kirre		0.9310917
rst	sns	True	0.5764158
kirre	dock		0.7660425000000001
kirre	drk		1.1252303
kirre	hbs	True	0.6457133
kirre	rols	True	0.6620813
kirre	sns		0.6613919
mbc	Ced-12	True	0.7125587
mbc	Crk	True	0.5652607
mbc	Pak		1.1252303
mbc	Rac2		1.0727806
mbc	SCAR		1.1252303
mbc	dock		1.0952826
mbc	drk		1.0750392
mbc	rols	True	0.6693754
rols	alpha-Spec	True	1.1252303
rols	blow		0.9670238999999999
rols	sls	True	1.0546616000000002
Rac2	Arf79F		1.1717938
Rac2	Ced-12		1.1252303
Rac2	Hem		1.0952826
Rac2	Pak		0.6974895999999999
Rac2	Rab11		1.1717938
Rac2	SCAR		1.1252303
Rac2	WASp		1.0952826
Rac2	dock		1.1252303
SCAR	Crk		1.1252303
SCAR	Hem	True	0.7063527
SCAR	WASp	True	0.7011461999999999
SCAR	dock		0.7358376
SCAR	drk		1.1252303
Arpc1	Arp3	True	0.7657423000000001
Arpc1	Pak		1.1252303
Arpc1	WASp		1.1071073
Arpc1	wbl	True	1.1717938
siz	Arf51F	True	0.8557636999999999
siz	dock		1.1717938
blow	Crk	True	0.8278468000000001
Rab11	Arf79F	True	0.8486806
Whamy	WASp		1.060865
drk	Arp3	True	0.9785927
drk	Ced-12		1.1252303
drk	Crk	True	0.6936151999999999
drk	Hem		1.1252303
drk	Pak		1.0952826
drk	WASp		1.0714511
drk	beta-Spec		1.1252303
drk	dock	True	0.7172736
Arf79F	Hem	True	0.9348131
sns	Crk		0.9348131
sns	dock		0.7214822
sns	hbs		0.653712
sqh	Rho1	True	0.9484353000000001
Arp3	WASp		1.140227
Pak	dock	True	0.567334
Hem	WASp		1.060865
Hem	dock		1.0952826
Crk	Ced-12		1.1476479
Crk	WASp		0.8326261999999999
Crk	alpha-Spec		1.1717938
Crk	dock		1.0952826
hbs	dock		0.7214822
wbl	pip	True	0.6412891
beta-Spec	alpha-Spec	True	0.5371136999999999
dock	WASp		0.7201811
sls	Arf51F	True	1.1717938
