protein1	protein2	in_solution	cost
mbc	Ced-12	True	0.7125587
mbc	Crk	True	0.5652607
mbc	Pak		1.1252303
mbc	Rac1		0.8945827
mbc	Rac2		1.0727806
mbc	SCAR		1.1252303
mbc	dock		1.0952826
mbc	drk		1.0750392
mbc	rols	True	0.6693754
rols	alpha-Spec	True	1.1252303
rols	blow		0.9670238999999999
rols	kirre	True	0.6620813
rols	sls	True	1.0546616000000002
Arpc1	Arp3	True	0.7657423000000001
Arpc1	Pak		1.1252303
Arpc1	WASp		1.1071073
Arpc1	wbl	True	1.1717938
Rok	Rac1	True	0.7949651
Rok	Rho1	True	0.5655272
Rok	drk		0.9785927
pip	wbl	True	0.6412891
sqh	Rho1	True	0.9484353000000001
kirre	dock		0.7660425000000001
kirre	drk		1.1252303
kirre	hbs	True	0.6457133
kirre	rst		0.9310917
kirre	sns		0.6613919
WASp	Arp3		1.140227
WASp	Crk		0.8326261999999999
WASp	Hem		1.060865
WASp	Rac1	True	0.6860725999999999
WASp	Rac2		1.0952826
WASp	SCAR	True	0.7011461999999999
WASp	Vrp1		0.7966754
WASp	Whamy		1.060865
WASp	dock		0.7201811
WASp	drk		1.0714511
sls	Arf51F	True	1.1717938
SCAR	Crk		1.1252303
SCAR	Hem	True	0.7063527
SCAR	Rac1		1.1252303
SCAR	Rac2		1.1252303
SCAR	dock		0.7358376
SCAR	drk		1.1252303
Arp3	drk	True	0.9785927
Pak3	Rac1	True	0.6315214
Pak3	Rac2		0.9348131
blow	Crk	True	0.8278468000000001
blow	Vrp1		0.9348131
Whamy	Rac1	True	1.060865
Hem	Arf79F	True	0.9348131
Hem	Rac1		1.0952826
Hem	Rac2		1.0952826
Hem	dock		1.0952826
Hem	drk		1.1252303
Arf51F	siz	True	0.8557636999999999
drk	Ced-12		1.1252303
drk	Crk	True	0.6936151999999999
drk	Pak		1.0952826
drk	beta-Spec		1.1252303
drk	dock		0.7172736
drk	rst		1.1252303
Arf79F	Rab11	True	0.8486806
Arf79F	Rac2		1.1717938
Crk	Ced-12		1.1476479
Crk	Vrp1		0.9348131
Crk	alpha-Spec		1.1717938
Crk	dock		1.0952826
Crk	sns		0.9348131
Vrp1	dock	True	0.7738670999999999
dia	Rac1		1.1252303
dia	Rac2	True	1.1252303
dia	Rho1		1.1252303
Rac2	Ced-12		1.1252303
Rac2	Pak		0.6974895999999999
Rac2	Rab11		1.1717938
Rac2	Rac1	True	0.599155
Rac2	dock		1.1252303
hbs	dock	True	0.7214822
hbs	rst	True	0.6464098
hbs	sns		0.653712
alpha-Spec	Rac1		1.1717938
alpha-Spec	beta-Spec	True	0.5371136999999999
Rac1	Ced-12		1.1252303
Rac1	Pak	True	0.5576127
Rac1	dock		1.1252303
dock	Pak	True	0.567334
dock	rst		0.8266118
dock	siz		1.1717938
dock	sns		0.7214822
sns	rst	True	0.5764158
