protein1	protein2	cost	in_solution
rst	dock	0.8266118	
rst	drk	1.1252303	
rst	hbs	0.6464098	True
rst	kirre	0.9310917	
rst	sns	0.5764158	True
kirre	dock	0.7660425000000001	
kirre	drk	1.1252303	
kirre	hbs	0.6457133	True
kirre	rols	0.6620813	True
kirre	sns	0.6613919	
Hem	Arf79F	0.9348131	True
Hem	Rac1	1.0952826	
Hem	Rac2	1.0952826	
Hem	SCAR	0.7063527	True
Hem	WASp	1.060865	
Hem	dock	1.0952826	
Hem	drk	1.1252303	
Vrp1	Crk	0.9348131	
Vrp1	WASp	0.7966754	True
Vrp1	blow	0.9348131	True
Vrp1	dock	0.7738670999999999	True
Pak3	Rac1	0.6315214	
Pak3	Rac2	0.9348131	True
Arpc4	Arp3	1.1432672	True
Arpc4	Arpc1	1.1432672	True
Arf51F	siz	0.8557636999999999	True
Arf51F	sls	1.1717938	True
rols	blow	0.9670238999999999	True
rols	mbc	0.6693754	True
rols	sls	1.0546616000000002	True
Rho1	Rok	0.5655272	True
Rho1	dia	1.1252303	
dock	Crk	1.0952826	
dock	Pak	0.567334	
dock	Rac1	1.1252303	
dock	Rac2	1.1252303	
dock	SCAR	0.7358376	
dock	WASp	0.7201811	
dock	drk	0.7172736	
dock	hbs	0.7214822	
dock	mbc	1.0952826	
dock	siz	1.1717938	
dock	sns	0.7214822	
Arf79F	Rac2	1.1717938	
Pak	Arpc1	1.1252303	
Pak	Rac1	0.5576127	
Pak	Rac2	0.6974895999999999	
Pak	drk	1.0952826	
Pak	mbc	1.1252303	True
hbs	sns	0.653712	
WASp	Arp3	1.140227	True
WASp	Arpc1	1.1071073	
WASp	Crk	0.8326261999999999	
WASp	Rac1	0.6860725999999999	
WASp	Rac2	1.0952826	
WASp	SCAR	0.7011461999999999	
WASp	Whamy	1.060865	True
WASp	drk	1.0714511	
drk	Arp3	0.9785927	
drk	Ced-12	1.1252303	True
drk	Crk	0.6936151999999999	
drk	Rok	0.9785927	
drk	SCAR	1.1252303	
drk	mbc	1.0750392	
mbc	Ced-12	0.7125587	True
mbc	Crk	0.5652607	
mbc	Rac1	0.8945827	
mbc	Rac2	1.0727806	
mbc	SCAR	1.1252303	True
Arpc1	Arp3	0.7657423000000001	
Rac2	Ced-12	1.1252303	True
Rac2	Rac1	0.599155	
Rac2	SCAR	1.1252303	
Rac2	dia	1.1252303	True
blow	Crk	0.8278468000000001	True
Whamy	Rac1	1.060865	True
SCAR	Crk	1.1252303	
SCAR	Rac1	1.1252303	
Ced-12	Crk	1.1476479	
Ced-12	Rac1	1.1252303	
Crk	sns	0.9348131	
Rac1	Rok	0.7949651	True
Rac1	dia	1.1252303	
