#node	degree	clustering	betweenness_centrality
rst	2	0	0.06896551724137931
hbs	2	0	0.1330049261083744
sns	1	0	0.0
kirre	2	0	0.19211822660098524
rols	4	0	0.7044334975369458
Hem	2	0	0.06896551724137931
Arf79F	1	0	0.0
SCAR	2	0	0.1330049261083744
Vrp1	3	0	0.4630541871921182
WASp	3	0	0.4088669950738916
blow	3	0	0.5123152709359606
dock	1	0	0.0
Pak3	1	0	0.0
Rac2	3	0	0.1354679802955665
Arpc4	2	0	0.06896551724137931
Arp3	2	0	0.1330049261083744
Arpc1	1	0	0.0
Arf51F	2	0	0.06896551724137931
siz	1	0	0.0
sls	2	0	0.1330049261083744
mbc	4	0	0.5
Rho1	1	0	0.0
Rok	2	0	0.06896551724137931
Pak	1	0	0.0
Whamy	2	0	0.19211822660098524
drk	1	0	0.0
Ced-12	3	0	0.2536945812807882
dia	1	0	0.0
Crk	1	0	0.0
Rac1	2	0	0.1330049261083744
