protein1	protein2	cost	in_solution
wbl	Arpc1	1.1717938	True
wbl	pip	0.6412891	True
Crk	Ced-12	1.1476479	
Crk	SCAR	1.1252303	
Crk	Vrp1	0.9348131	
Crk	WASp	0.8326261999999999	
Crk	alpha-Spec	1.1717938	
Crk	blow	0.8278468000000001	True
Crk	dock	1.0952826	
Crk	drk	0.6936151999999999	True
Crk	mbc	0.5652607	True
Crk	sns	0.9348131	
Vrp1	WASp	0.7966754	
Vrp1	blow	0.9348131	
Vrp1	dock	0.7738670999999999	True
siz	Arf51F	0.8557636999999999	True
siz	dock	1.1717938	
Arf51F	sls	1.1717938	True
Pak3	Rac1	0.6315214	True
Pak3	Rac2	0.9348131	
Rho1	Rok	0.5655272	True
Rho1	dia	1.1252303	
Rho1	sqh	0.9484353000000001	True
rols	alpha-Spec	1.1252303	True
rols	blow	0.9670238999999999	
rols	kirre	0.6620813	True
rols	mbc	0.6693754	True
rols	sls	1.0546616000000002	True
rst	dock	0.8266118	
rst	drk	1.1252303	
rst	hbs	0.6464098	True
rst	kirre	0.9310917	
rst	sns	0.5764158	True
Pak	Arpc1	1.1252303	
Pak	Rac1	0.5576127	True
Pak	Rac2	0.6974895999999999	
Pak	dock	0.567334	True
Pak	drk	1.0952826	
Pak	mbc	1.1252303	
Rok	Rac1	0.7949651	True
Rok	drk	0.9785927	
sns	dock	0.7214822	
sns	hbs	0.653712	
sns	kirre	0.6613919	
kirre	dock	0.7660425000000001	
kirre	drk	1.1252303	
kirre	hbs	0.6457133	True
Rac1	Ced-12	1.1252303	
Rac1	Hem	1.0952826	
Rac1	Rac2	0.599155	True
Rac1	SCAR	1.1252303	
Rac1	WASp	0.6860725999999999	True
Rac1	Whamy	1.060865	True
Rac1	alpha-Spec	1.1717938	
Rac1	dia	1.1252303	
Rac1	dock	1.1252303	
Rac1	mbc	0.8945827	
Rac2	Arf79F	1.1717938	
Rac2	Ced-12	1.1252303	
Rac2	Hem	1.0952826	
Rac2	Rab11	1.1717938	
Rac2	SCAR	1.1252303	
Rac2	WASp	1.0952826	
Rac2	dia	1.1252303	True
Rac2	dock	1.1252303	
Rac2	mbc	1.0727806	
Arf79F	Hem	0.9348131	True
Arf79F	Rab11	0.8486806	True
Hem	SCAR	0.7063527	True
Hem	WASp	1.060865	
Hem	dock	1.0952826	
Hem	drk	1.1252303	
mbc	Ced-12	0.7125587	True
mbc	SCAR	1.1252303	
mbc	dock	1.0952826	
mbc	drk	1.0750392	
beta-Spec	alpha-Spec	0.5371136999999999	True
beta-Spec	drk	1.1252303	
drk	Arp3	0.9785927	True
drk	Ced-12	1.1252303	
drk	SCAR	1.1252303	
drk	WASp	1.0714511	
drk	dock	0.7172736	True
WASp	Arp3	1.140227	
WASp	Arpc1	1.1071073	
WASp	SCAR	0.7011461999999999	True
WASp	Whamy	1.060865	
WASp	dock	0.7201811	
dock	SCAR	0.7358376	
dock	hbs	0.7214822	
Arpc1	Arp3	0.7657423000000001	True
