#node	degree	clustering	betweenness_centrality
wbl	2	0	0.058823529411764705
Arpc1	2	0	0.1140819964349376
pip	1	0	0.0
Crk	3	0	0.5080213903743315
blow	1	0	0.0
drk	3	0	0.6131907308377896
mbc	3	0	0.4688057040998217
Vrp1	1	0	0.0
dock	3	0	0.5329768270944741
siz	1	0	0.0
Arf51F	2	0	0.058823529411764705
sls	2	0	0.1140819964349376
Pak3	1	0	0.0
Rac1	6	0	0.5632798573975044
Rho1	2	0	0.058823529411764705
Rok	2	0	0.1140819964349376
sqh	1	0	0.0
rols	4	0	0.4474153297682709
alpha-Spec	2	0	0.058823529411764705
kirre	2	0	0.1657754010695187
rst	2	0	0.058823529411764705
hbs	2	0	0.1140819964349376
sns	1	0	0.0
Pak	2	0	0.4866310160427807
Rac2	2	0	0.058823529411764705
WASp	2	0	0.21390374331550802
Whamy	1	0	0.0
dia	1	0	0.0
Arf79F	2	0	0.058823529411764705
Hem	2	0	0.1140819964349376
Rab11	1	0	0.0
SCAR	2	0	0.1657754010695187
Ced-12	1	0	0.0
beta-Spec	1	0	0.0
Arp3	2	0	0.1657754010695187
