protein1	protein2	cost	in_solution
siz	Arf51F	0.8557636999999999	True
siz	dock	1.1717938	
Rac2	Arf79F	1.1717938	
Rac2	Ced-12	1.1252303	
Rac2	Hem	1.0952826	
Rac2	Pak	0.6974895999999999	
Rac2	Pak3	0.9348131	
Rac2	Rab11	1.1717938	True
Rac2	Rac1	0.599155	True
Rac2	SCAR	1.1252303	
Rac2	WASp	1.0952826	
Rac2	dia	1.1252303	True
Rac2	dock	1.1252303	
Rac2	mbc	1.0727806	
Arf51F	sls	1.1717938	True
hbs	dock	0.7214822	True
hbs	kirre	0.6457133	True
hbs	rst	0.6464098	True
hbs	sns	0.653712	
Crk	Ced-12	1.1476479	
Crk	SCAR	1.1252303	
Crk	Vrp1	0.9348131	
Crk	WASp	0.8326261999999999	
Crk	alpha-Spec	1.1717938	
Crk	blow	0.8278468000000001	True
Crk	dock	1.0952826	
Crk	drk	0.6936151999999999	
Crk	mbc	0.5652607	True
Crk	sns	0.9348131	
SCAR	Hem	0.7063527	True
SCAR	Rac1	1.1252303	
SCAR	WASp	0.7011461999999999	True
SCAR	dock	0.7358376	
SCAR	drk	1.1252303	
SCAR	mbc	1.1252303	
Pak	Arpc1	1.1252303	
Pak	Rac1	0.5576127	True
Pak	dock	0.567334	True
Pak	drk	1.0952826	
Pak	mbc	1.1252303	
Arf79F	Hem	0.9348131	True
Arf79F	Rab11	0.8486806	
dia	Rac1	1.1252303	
dia	Rho1	1.1252303	
pip	ps	0.9540791	True
Arpc1	Arp3	0.7657423000000001	True
Arpc1	WASp	1.1071073	
WASp	Arp3	1.140227	True
WASp	Hem	1.060865	
WASp	Rac1	0.6860725999999999	
WASp	Vrp1	0.7966754	True
WASp	Whamy	1.060865	
WASp	dock	0.7201811	
WASp	drk	1.0714511	
drk	Arp3	0.9785927	
drk	Ced-12	1.1252303	
drk	Hem	1.1252303	
drk	Rok	0.9785927	True
drk	beta-Spec	1.1252303	
drk	dock	0.7172736	
drk	kirre	1.1252303	
drk	mbc	1.0750392	
drk	rst	1.1252303	
ps	Whamy	0.9540791	True
ps	mbc	0.9540791	
rols	alpha-Spec	1.1252303	True
rols	blow	0.9670238999999999	
rols	kirre	0.6620813	True
rols	mbc	0.6693754	True
rols	sls	1.0546616000000002	True
rst	dock	0.8266118	
rst	kirre	0.9310917	
rst	sns	0.5764158	True
Rac1	Ced-12	1.1252303	
Rac1	Hem	1.0952826	
Rac1	Pak3	0.6315214	True
Rac1	Rok	0.7949651	True
Rac1	Whamy	1.060865	True
Rac1	alpha-Spec	1.1717938	
Rac1	dock	1.1252303	
Rac1	mbc	0.8945827	
Hem	dock	1.0952826	
Vrp1	blow	0.9348131	
Vrp1	dock	0.7738670999999999	True
Ced-12	mbc	0.7125587	True
Rok	Rho1	0.5655272	True
mbc	dock	1.0952826	
sqh	Rho1	0.9484353000000001	True
sns	dock	0.7214822	
sns	kirre	0.6613919	
kirre	dock	0.7660425000000001	
alpha-Spec	beta-Spec	0.5371136999999999	True
