protein1	protein2	cost	in_solution
dock	Crk	1.0952826	
dock	Hem	1.0952826	
dock	Pak	0.567334	True
dock	Rac1	1.1252303	
dock	Rac2	1.1252303	
dock	SCAR	0.7358376	
dock	Vrp1	0.7738670999999999	True
dock	WASp	0.7201811	
dock	drk	0.7172736	
dock	hbs	0.7214822	True
dock	kirre	0.7660425000000001	
dock	mbc	1.0952826	
dock	rst	0.8266118	
dock	siz	1.1717938	
dock	sns	0.7214822	
Rac1	Ced-12	1.1252303	
Rac1	Hem	1.0952826	
Rac1	Pak	0.5576127	True
Rac1	Pak3	0.6315214	True
Rac1	Rac2	0.599155	True
Rac1	Rok	0.7949651	True
Rac1	SCAR	1.1252303	
Rac1	WASp	0.6860725999999999	
Rac1	Whamy	1.060865	True
Rac1	alpha-Spec	1.1717938	
Rac1	dia	1.1252303	
Rac1	mbc	0.8945827	
Rac2	Arf79F	1.1717938	
Rac2	Ced-12	1.1252303	
Rac2	Hem	1.0952826	
Rac2	Pak	0.6974895999999999	
Rac2	Pak3	0.9348131	
Rac2	Rab11	1.1717938	True
Rac2	SCAR	1.1252303	
Rac2	WASp	1.0952826	
Rac2	dia	1.1252303	True
Rac2	mbc	1.0727806	
Arf79F	Hem	0.9348131	True
Arf79F	Rab11	0.8486806	
drk	Arp3	0.9785927	
drk	Ced-12	1.1252303	
drk	Crk	0.6936151999999999	
drk	Hem	1.1252303	
drk	Pak	1.0952826	
drk	Rok	0.9785927	True
drk	SCAR	1.1252303	
drk	WASp	1.0714511	
drk	beta-Spec	1.1252303	
drk	kirre	1.1252303	
drk	mbc	1.0750392	
drk	rst	1.1252303	
ps	Whamy	0.9540791	True
ps	mbc	0.9540791	
ps	pip	0.9540791	True
Rok	Rho1	0.5655272	True
Vrp1	Crk	0.9348131	
Vrp1	WASp	0.7966754	True
Vrp1	blow	0.9348131	
WASp	Arp3	1.140227	True
WASp	Arpc1	1.1071073	
WASp	Crk	0.8326261999999999	
WASp	Hem	1.060865	
WASp	SCAR	0.7011461999999999	True
WASp	Whamy	1.060865	
Ced-12	Crk	1.1476479	
Ced-12	mbc	0.7125587	True
Crk	SCAR	1.1252303	
Crk	alpha-Spec	1.1717938	
Crk	blow	0.8278468000000001	True
Crk	mbc	0.5652607	True
Crk	sns	0.9348131	
Arf51F	siz	0.8557636999999999	True
Arf51F	sls	1.1717938	True
SCAR	Hem	0.7063527	True
SCAR	mbc	1.1252303	
Pak	Arpc1	1.1252303	
Pak	mbc	1.1252303	
sqh	Rho1	0.9484353000000001	True
mbc	rols	0.6693754	True
rols	alpha-Spec	1.1252303	True
rols	blow	0.9670238999999999	
rols	kirre	0.6620813	True
rols	sls	1.0546616000000002	True
rst	hbs	0.6464098	True
rst	kirre	0.9310917	
rst	sns	0.5764158	True
dia	Rho1	1.1252303	
hbs	kirre	0.6457133	True
hbs	sns	0.653712	
kirre	sns	0.6613919	
beta-Spec	alpha-Spec	0.5371136999999999	True
Arp3	Arpc1	0.7657423000000001	True
