protein1	protein2	cost	in_solution
sqh	Rho1	0.9484353000000001	True
Arp3	Arpc1	0.7657423000000001	True
Arp3	WASp	1.140227	True
Arp3	drk	0.9785927	
Ced-12	Crk	1.1476479	
Ced-12	Rac1	1.1252303	
Ced-12	Rac2	1.1252303	
Ced-12	drk	1.1252303	
Ced-12	mbc	0.7125587	True
Crk	SCAR	1.1252303	
Crk	Vrp1	0.9348131	
Crk	WASp	0.8326261999999999	
Crk	alpha-Spec	1.1717938	
Crk	blow	0.8278468000000001	True
Crk	dock	1.0952826	
Crk	drk	0.6936151999999999	
Crk	mbc	0.5652607	True
Crk	sns	0.9348131	
rols	alpha-Spec	1.1252303	True
rols	blow	0.9670238999999999	
rols	kirre	0.6620813	True
rols	mbc	0.6693754	True
rols	sls	1.0546616000000002	True
sls	Arf51F	1.1717938	True
Pak	Arpc1	1.1252303	
Pak	Rac1	0.5576127	True
Pak	Rac2	0.6974895999999999	
Pak	dock	0.567334	True
Pak	drk	1.0952826	
Pak	mbc	1.1252303	
siz	Arf51F	0.8557636999999999	True
siz	dock	1.1717938	
beta-Spec	alpha-Spec	0.5371136999999999	True
beta-Spec	drk	1.1252303	
Hem	Arf79F	0.9348131	True
Hem	Rac1	1.0952826	
Hem	Rac2	1.0952826	
Hem	SCAR	0.7063527	True
Hem	WASp	1.060865	
Hem	dock	1.0952826	
Hem	drk	1.1252303	
dock	Rac1	1.1252303	
dock	Rac2	1.1252303	
dock	SCAR	0.7358376	
dock	Vrp1	0.7738670999999999	True
dock	WASp	0.7201811	
dock	drk	0.7172736	
dock	hbs	0.7214822	True
dock	kirre	0.7660425000000001	
dock	mbc	1.0952826	
dock	rst	0.8266118	
dock	sns	0.7214822	
hbs	kirre	0.6457133	True
hbs	rst	0.6464098	True
hbs	sns	0.653712	
Rok	Rac1	0.7949651	True
Rok	Rho1	0.5655272	True
Rok	drk	0.9785927	True
ps	Whamy	0.9540791	True
ps	mbc	0.9540791	
ps	pip	0.9540791	True
alpha-Spec	Rac1	1.1717938	
WASp	Arpc1	1.1071073	
WASp	Rac1	0.6860725999999999	
WASp	Rac2	1.0952826	
WASp	SCAR	0.7011461999999999	True
WASp	Vrp1	0.7966754	True
WASp	Whamy	1.060865	
WASp	drk	1.0714511	
Rac1	Pak3	0.6315214	True
Rac1	Rac2	0.599155	True
Rac1	SCAR	1.1252303	
Rac1	Whamy	1.060865	True
Rac1	dia	1.1252303	
Rac1	mbc	0.8945827	
sns	kirre	0.6613919	
sns	rst	0.5764158	True
mbc	Rac2	1.0727806	
mbc	SCAR	1.1252303	
mbc	drk	1.0750392	
drk	SCAR	1.1252303	
drk	kirre	1.1252303	
drk	rst	1.1252303	
Rac2	Arf79F	1.1717938	
Rac2	Pak3	0.9348131	
Rac2	Rab11	1.1717938	True
Rac2	SCAR	1.1252303	
Rac2	dia	1.1252303	True
Arf79F	Rab11	0.8486806	
blow	Vrp1	0.9348131	
kirre	rst	0.9310917	
Rho1	dia	1.1252303	
